,B_COUNTRY,StateNme
0,196,Cyprus
1,196,Cyprus
2,196,Cyprus
3,196,Cyprus
4,196,Cyprus
5,196,Cyprus
6,196,Cyprus
7,196,Cyprus
8,196,Cyprus
9,196,Cyprus
10,196,Cyprus
11,196,Cyprus
12,196,Cyprus
13,196,Cyprus
14,196,Cyprus
15,196,Cyprus
16,196,Cyprus
17,196,Cyprus
18,196,Cyprus
19,196,Cyprus
20,196,Cyprus
21,196,Cyprus
22,218,Ecuador
23,218,Ecuador
24,218,Ecuador
25,218,Ecuador
26,218,Ecuador
27,218,Ecuador
28,218,Ecuador
29,218,Ecuador
30,218,Ecuador
31,218,Ecuador
32,218,Ecuador
33,218,Ecuador
34,218,Ecuador
35,218,Ecuador
36,218,Ecuador
37,218,Ecuador
38,218,Ecuador
39,218,Ecuador
40,218,Ecuador
41,218,Ecuador
42,218,Ecuador
43,218,Ecuador
44,218,Ecuador
45,218,Ecuador
46,218,Ecuador
47,218,Ecuador
48,218,Ecuador
49,218,Ecuador
50,218,Ecuador
51,218,Ecuador
52,218,Ecuador
53,218,Ecuador
54,218,Ecuador
55,218,Ecuador
56,218,Ecuador
57,218,Ecuador
58,218,Ecuador
59,218,Ecuador
60,218,Ecuador
61,218,Ecuador
62,218,Ecuador
63,218,Ecuador
64,218,Ecuador
65,218,Ecuador
66,218,Ecuador
67,218,Ecuador
68,218,Ecuador
69,218,Ecuador
70,218,Ecuador
71,218,Ecuador
72,218,Ecuador
73,218,Ecuador
74,218,Ecuador
75,218,Ecuador
76,218,Ecuador
77,218,Ecuador
78,218,Ecuador
79,218,Ecuador
80,218,Ecuador
81,218,Ecuador
82,218,Ecuador
83,218,Ecuador
84,218,Ecuador
85,218,Ecuador
86,218,Ecuador
87,218,Ecuador
88,218,Ecuador
89,218,Ecuador
90,218,Ecuador
91,218,Ecuador
92,218,Ecuador
93,218,Ecuador
94,218,Ecuador
95,218,Ecuador
96,218,Ecuador
97,218,Ecuador
98,218,Ecuador
99,218,Ecuador
100,218,Ecuador
101,218,Ecuador
102,218,Ecuador
103,218,Ecuador
104,218,Ecuador
105,218,Ecuador
106,218,Ecuador
107,218,Ecuador
108,218,Ecuador
109,300,Greece
110,300,Greece
111,300,Greece
112,300,Greece
113,300,Greece
114,300,Greece
115,300,Greece
116,300,Greece
117,300,Greece
118,300,Greece
119,300,Greece
120,300,Greece
121,300,Greece
122,300,Greece
123,300,Greece
124,300,Greece
125,300,Greece
126,300,Greece
127,300,Greece
128,300,Greece
129,300,Greece
130,300,Greece
131,300,Greece
132,300,Greece
133,300,Greece
134,300,Greece
135,300,Greece
136,300,Greece
137,300,Greece
138,300,Greece
139,300,Greece
140,300,Greece
141,300,Greece
142,300,Greece
143,300,Greece
144,300,Greece
145,300,Greece
146,300,Greece
147,300,Greece
148,300,Greece
149,300,Greece
150,300,Greece
151,300,Greece
152,300,Greece
153,300,Greece
154,300,Greece
155,300,Greece
156,300,Greece
157,300,Greece
158,300,Greece
159,300,Greece
160,300,Greece
161,300,Greece
162,300,Greece
163,300,Greece
164,300,Greece
165,300,Greece
166,300,Greece
167,300,Greece
168,300,Greece
169,300,Greece
170,300,Greece
171,300,Greece
172,300,Greece
173,300,Greece
174,300,Greece
175,300,Greece
176,300,Greece
177,300,Greece
178,300,Greece
179,300,Greece
180,300,Greece
