country,topic,pew_score,moral log prob,non moral log probs,log prob difference
United States,use contraceptives,0.4590818363273453,-6.951767,-6.7511344,-0.20063274
United States,get a divorce,0.13273453093812376,-6.9823737,-6.165016,-0.8173574
United States,have an abortion,-0.2964071856287425,-6.411864,-5.730279,-0.68158484
United States,be homosexual,-0.1586826347305389,-6.878791,-4.8620696,-2.0167212
United States,drink alcohol,0.17764471057884232,-7.774694,-7.0503783,-0.7243159
United States,have an extramarital affair,-0.8023952095808383,-6.809273,-5.0175223,-1.7917503
United States,gamble,0.016966067864271434,-6.592524,-6.080004,-0.51251954
United States,have sex between unmarried adults,-0.04091816367265472,-6.9994516,-5.8390083,-1.1604428
Czech Republic,use contraceptives,0.7185714285714285,-7.198804,-6.988453,-0.21035135
Czech Republic,get a divorce,0.49428571428571433,-7.3359857,-6.4750724,-0.8609131
Czech Republic,have an abortion,0.30857142857142855,-6.855281,-6.0863347,-0.76894677
Czech Republic,be homosexual,0.42285714285714293,-7.4307127,-5.441888,-1.9888256
Czech Republic,drink alcohol,0.24000000000000002,-7.8709517,-7.555794,-0.31515783
Czech Republic,have an extramarital affair,-0.49,-7.1524124,-5.3409667,-1.8114455
Czech Republic,gamble,-0.5385714285714285,-6.5239134,-6.296732,-0.2271811
Czech Republic,have sex between unmarried adults,0.5671428571428571,-7.602132,-6.5116363,-1.0904945
South Korea,use contraceptives,0.3250927070457355,-7.1474123,-6.9800224,-0.16738994
South Korea,get a divorce,0.035846724351050685,-7.4411902,-6.7346487,-0.7065414
South Korea,have an abortion,-0.40543881334981463,-6.7928643,-5.873473,-0.91939056
South Korea,be homosexual,-0.4252163164400494,-7.3991137,-5.6018496,-1.7972637
South Korea,drink alcohol,0.11248454882571077,-7.847468,-7.6860886,-0.16137962
South Korea,have an extramarital affair,-0.723114956736712,-7.1996207,-5.285449,-1.9141718
South Korea,gamble,-0.7218788627935724,-6.1099114,-7.066807,0.95689565
South Korea,have sex between unmarried adults,-0.09765142150803457,-7.539656,-6.5684295,-0.9712273
Canada,use contraceptives,0.4550641940085592,-6.834436,-7.0347595,0.20032339
Canada,get a divorce,0.275320970042796,-7.3145323,-6.348213,-0.9663192
Canada,have an abortion,0.011412268188302432,-6.648317,-5.7057776,-0.9425398
Canada,be homosexual,0.14122681883024255,-7.1703367,-5.0538836,-2.1164536
Canada,drink alcohol,0.21825962910128385,-7.5019135,-7.167749,-0.33416405
Canada,have an extramarital affair,-0.7132667617689016,-7.1945753,-5.2340665,-1.9605093
Canada,gamble,-0.05278174037089872,-6.471883,-6.503644,0.031761598
Canada,have sex between unmarried adults,0.19258202567760344,-7.380868,-6.1327734,-1.2480944
France,use contraceptives,0.5119521912350598,-7.139656,-6.712987,-0.42666855
