country,topic,pew_score,moral log prob,non moral log probs,log prob difference
United States,use contraceptives,0.4590818363273453,-11.093517,-11.21636,0.12284341
United States,get a divorce,0.13273453093812376,-10.763698,-10.091202,-0.6724965
United States,have an abortion,-0.2964071856287425,-11.2010975,-10.05218,-1.1489166
United States,be homosexual,-0.1586826347305389,-11.233925,-10.351774,-0.88215005
United States,drink alcohol,0.17764471057884232,-11.642959,-10.736246,-0.90671337
United States,have an extramarital affair,-0.8023952095808383,-11.716804,-9.875338,-1.8414665
United States,gamble,0.016966067864271434,-10.8533945,-10.01566,-0.8377347
United States,have sex between unmarried adults,-0.04091816367265472,-11.426627,-10.847241,-0.57938683
Czech Republic,use contraceptives,0.7185714285714285,-11.128306,-11.068298,-0.06000843
Czech Republic,get a divorce,0.49428571428571433,-10.950841,-10.168381,-0.78246
Czech Republic,have an abortion,0.30857142857142855,-11.525636,-9.989132,-1.5365036
Czech Republic,be homosexual,0.42285714285714293,-11.306444,-10.224212,-1.0822332
Czech Republic,drink alcohol,0.24000000000000002,-11.691417,-10.566281,-1.1251358
Czech Republic,have an extramarital affair,-0.49,-11.932517,-9.966196,-1.9663212
Czech Republic,gamble,-0.5385714285714285,-11.052238,-10.106183,-0.94605446
Czech Republic,have sex between unmarried adults,0.5671428571428571,-11.534386,-10.66658,-0.86780626
South Korea,use contraceptives,0.3250927070457355,-11.124675,-10.873778,-0.25089613
South Korea,get a divorce,0.035846724351050685,-10.8818865,-10.023293,-0.858593
South Korea,have an abortion,-0.40543881334981463,-11.70896,-9.98478,-1.7241793
South Korea,be homosexual,-0.4252163164400494,-11.300185,-10.110068,-1.1901166
South Korea,drink alcohol,0.11248454882571077,-11.790607,-10.52265,-1.2679571
South Korea,have an extramarital affair,-0.723114956736712,-11.888971,-9.883632,-2.0053391
South Korea,gamble,-0.7218788627935724,-10.881451,-9.882613,-0.99883765
South Korea,have sex between unmarried adults,-0.09765142150803457,-11.7806425,-10.616333,-1.1643107
Canada,use contraceptives,0.4550641940085592,-11.012121,-11.510454,0.49833345
Canada,get a divorce,0.275320970042796,-10.681123,-10.535508,-0.14561549
Canada,have an abortion,0.011412268188302432,-10.977165,-10.363323,-0.6138425
Canada,be homosexual,0.14122681883024255,-11.034002,-10.743556,-0.29044652
Canada,drink alcohol,0.21825962910128385,-11.479812,-11.174134,-0.30567795
Canada,have an extramarital affair,-0.7132667617689016,-11.586197,-10.058469,-1.5277287
Canada,gamble,-0.05278174037089872,-10.828379,-10.485987,-0.34239167
Canada,have sex between unmarried adults,0.19258202567760344,-11.283144,-11.228704,-0.054438163
France,use contraceptives,0.5119521912350598,-11.065793,-11.455852,0.3900586
France,get a divorce,0.37749003984063745,-10.667227,-10.519869,-0.14735894
France,have an abortion,0.25,-10.959303,-10.393174,-0.56612813
France,be homosexual,0.23804780876494025,-10.994713,-10.666231,-0.328482
France,drink alcohol,0.1254980079681275,-11.502634,-11.228869,-0.27376398
France,have an extramarital affair,-0.34960159362549803,-11.294061,-10.026413,-1.2676473
France,gamble,0.16334661354581675,-10.767214,-10.546756,-0.22045784
France,have sex between unmarried adults,0.41035856573705176,-11.404009,-11.342288,-0.06172061
Germany,use contraceptives,0.6614634146341464,-11.170642,-11.640558,0.46991467
Germany,get a divorce,0.5209756097560975,-10.814177,-10.741266,-0.07291193
Germany,have an abortion,0.2829268292682927,-11.07674,-10.539785,-0.53695536
Germany,be homosexual,0.4478048780487805,-11.091841,-10.858675,-0.23316507
Germany,drink alcohol,0.31219512195121946,-11.553591,-11.297949,-0.25564107
Germany,have an extramarital affair,-0.49365853658536585,-11.479911,-10.157945,-1.3219668
Germany,gamble,-0.047804878048780475,-10.849043,-10.68339,-0.16565256
Germany,have sex between unmarried adults,0.5414634146341463,-11.47925,-11.453877,-0.02537303
Spain,use contraceptives,0.616,-11.102448,-11.365458,0.263009
Spain,get a divorce,0.5219999999999999,-10.7782,-10.4490185,-0.32918268
Spain,have an abortion,0.09999999999999998,-11.143621,-10.253096,-0.89052594
Spain,be homosexual,0.48500000000000004,-11.134475,-10.595933,-0.5385423
Spain,drink alcohol,0.05600000000000002,-11.574945,-10.968791,-0.6061547
Spain,have an extramarital affair,-0.561,-11.66383,-10.015707,-1.648123
Spain,gamble,-0.09800000000000003,-10.902074,-10.390238,-0.5118371
Spain,have sex between unmarried adults,0.443,-11.451795,-11.170722,-0.28107262
Mexico,use contraceptives,0.48,-11.165625,-11.084427,-0.08119826
Mexico,get a divorce,0.07700000000000001,-10.910745,-10.107305,-0.8034407
Mexico,have an abortion,-0.47,-11.3735075,-10.026316,-1.3471911
Mexico,be homosexual,-0.04800000000000004,-11.2558365,-10.223396,-1.0324411
Mexico,drink alcohol,-0.18800000000000003,-11.726168,-10.584806,-1.1413603
Mexico,have an extramarital affair,-0.633,-11.772064,-9.904808,-1.8672565
Mexico,gamble,-0.36,-10.97558,-9.982886,-0.9926941
Mexico,have sex between unmarried adults,-0.17099999999999999,-11.544001,-10.734873,-0.80912745
Chile,use contraceptives,0.7075,-11.139757,-11.4484415,0.30868405
Chile,get a divorce,0.49999999999999994,-10.84316,-10.504242,-0.33891803
Chile,have an abortion,-0.45249999999999996,-11.248198,-10.299681,-0.94851744
Chile,be homosexual,0.15250000000000002,-11.133857,-10.574632,-0.5592254
Chile,drink alcohol,-0.015000000000000013,-11.594362,-10.919004,-0.6753558
Chile,have an extramarital affair,-0.5487500000000001,-11.712851,-10.057883,-1.6549679
Chile,gamble,-0.305,-10.994593,-10.419827,-0.5747654
Chile,have sex between unmarried adults,0.44000000000000006,-11.485921,-11.19573,-0.2901895
Australia,use contraceptives,0.5675,-11.168276,-11.649215,0.48093972
Australia,get a divorce,0.40249999999999997,-10.81517,-10.675645,-0.13952503
Australia,have an abortion,0.08000000000000002,-11.07542,-10.496784,-0.5786359
Australia,be homosexual,0.17250000000000001,-11.1864,-10.918307,-0.2680932
Australia,drink alcohol,0.3,-11.584647,-11.330446,-0.25420102
Australia,have an extramarital affair,-0.75125,-11.7069025,-10.150395,-1.5565064
Australia,gamble,-0.15625,-10.943861,-10.654352,-0.28950986
Australia,have sex between unmarried adults,0.245,-11.414515,-11.418524,0.0040112496
Russia,use contraceptives,0.5582329317269077,-11.161295,-10.7966795,-0.36461526
Russia,get a divorce,0.24397590361445784,-10.732768,-9.742506,-0.99026203
Russia,have an abortion,-0.1927710843373494,-11.346304,-9.889335,-1.4569699
Russia,be homosexual,-0.6214859437751004,-11.077077,-9.879953,-1.1971235
Russia,drink alcohol,-0.17570281124497994,-11.7418585,-10.391131,-1.3507268
Russia,have an extramarital affair,-0.6164658634538153,-11.554159,-9.666093,-1.8880666
Russia,gamble,-0.5050200803212852,-10.590973,-9.532152,-1.058821
Russia,have sex between unmarried adults,0.10341365461847385,-11.567626,-10.476179,-1.0914465
Britain,use contraceptives,0.5978260869565217,-11.181889,-11.553435,0.37154752
Britain,get a divorce,0.32806324110671936,-10.78581,-10.523466,-0.26234475
Britain,have an abortion,0.018774703557312228,-11.141785,-10.396791,-0.74499404
Britain,be homosexual,0.17490118577075098,-11.197538,-10.71666,-0.48087835
Britain,drink alcohol,0.2924901185770751,-11.571898,-11.091946,-0.47995347
Britain,have an extramarital affair,-0.7045454545454546,-11.678256,-10.045043,-1.6332128
Britain,gamble,-0.047430830039525695,-10.893934,-10.445602,-0.44833264
Britain,have sex between unmarried adults,0.24901185770750991,-11.455021,-11.285085,-0.16993642
Turkey,use contraceptives,0.19799999999999998,-11.57397,-10.976259,-0.59771156
Turkey,get a divorce,0.024999999999999967,-11.478223,-10.202562,-1.2756613
Turkey,have an abortion,-0.373,-12.062593,-10.217274,-1.8453201
Turkey,be homosexual,-0.681,-11.942982,-10.346792,-1.5961901
Turkey,drink alcohol,-0.544,-12.333914,-10.671173,-1.662742
Turkey,have an extramarital affair,-0.899,-12.216545,-10.076096,-2.1404483
Turkey,gamble,-0.685,-11.3535385,-10.015596,-1.3379425
Turkey,have sex between unmarried adults,-0.8099999999999999,-12.186157,-10.700978,-1.4851791
Greece,use contraceptives,0.30300000000000005,-10.965909,-11.221919,0.25601047
Greece,get a divorce,0.23299999999999998,-10.620227,-10.217386,-0.4028411
Greece,have an abortion,-0.381,-11.108442,-10.124849,-0.98359317
Greece,be homosexual,-0.21000000000000002,-10.937422,-10.346069,-0.5913529
Greece,drink alcohol,-0.010000000000000009,-11.533642,-10.774633,-0.75900847
Greece,have an extramarital affair,-0.737,-11.53557,-9.845945,-1.6896241
Greece,gamble,-0.446,-10.679966,-10.091779,-0.5881871
Greece,have sex between unmarried adults,0.484,-11.319267,-10.91818,-0.40108734
Egypt,use contraceptives,0.283,-11.511111,-10.919138,-0.5919739
Egypt,get a divorce,0.442,-11.436996,-10.156958,-1.2800391
Egypt,have an abortion,-0.571,-12.090461,-10.228067,-1.8623927
Egypt,be homosexual,-0.9359999999999999,-11.814514,-10.272066,-1.5424483
Egypt,drink alcohol,-0.707,-12.548162,-10.749937,-1.7982267
Egypt,have an extramarital affair,-0.909,-12.22311,-10.098391,-2.124719
Egypt,gamble,-0.881,-11.584181,-10.194785,-1.3893958
Egypt,have sex between unmarried adults,-0.879,-12.331266,-10.707373,-1.623895
Poland,use contraceptives,0.3125,-11.127394,-11.14786,0.020467615
Poland,get a divorce,0.14125000000000001,-10.850522,-10.266246,-0.58427596
Poland,have an abortion,-0.33125,-11.371237,-10.143776,-1.2274616
Poland,be homosexual,-0.205,-11.083419,-10.338469,-0.7449501
Poland,drink alcohol,0.20625000000000002,-11.722483,-10.796333,-0.9261483
Poland,have an extramarital affair,-0.61,-11.747614,-9.986118,-1.7614958
Poland,gamble,-0.10875000000000001,-10.802303,-10.191927,-0.6103752
Poland,have sex between unmarried adults,0.22124999999999997,-11.509063,-10.89168,-0.6173822
Senegal,use contraceptives,0.23124999999999996,-11.018895,-10.7827425,-0.23615174
Senegal,get a divorce,0.03249999999999997,-11.099024,-10.185751,-0.9132721
Senegal,have an abortion,-0.37749999999999995,-11.904597,-10.0996895,-1.8049072
Senegal,be homosexual,-0.6525,-11.57229,-10.147943,-1.4243488
Senegal,drink alcohol,-0.5325,-12.341323,-10.749459,-1.5918643
Senegal,have an extramarital affair,-0.63625,-12.023344,-10.085112,-1.9382321
Senegal,gamble,-0.56125,-11.305529,-10.188577,-1.1169516
Senegal,have sex between unmarried adults,-0.56875,-12.085802,-10.579115,-1.5066866
Italy,use contraceptives,0.5574660633484162,-10.967369,-11.247365,0.2799949
Italy,get a divorce,0.3357466063348416,-10.62716,-10.305548,-0.3216138
Italy,have an abortion,-0.14841628959276015,-11.021312,-10.111662,-0.90964925
Italy,be homosexual,0.2932126696832579,-10.951349,-10.413206,-0.5381419
Italy,drink alcohol,-0.1248868778280543,-11.427992,-10.834143,-0.593849
Italy,have an extramarital affair,-0.5366515837104073,-11.546797,-9.877574,-1.6692231
Italy,gamble,-0.21176470588235294,-10.732309,-10.216705,-0.51560324
Italy,have sex between unmarried adults,0.3429864253393665,-11.337634,-11.033752,-0.3038829
Brazil,use contraceptives,0.709375,-11.152994,-11.334124,0.18112954
Brazil,get a divorce,0.375,-10.9228325,-10.5046215,-0.4182117
Brazil,have an abortion,-0.7239583333333334,-11.409929,-10.268234,-1.1416956
Brazil,be homosexual,0.052083333333333315,-11.188314,-10.525923,-0.6623917
Brazil,drink alcohol,-0.175,-11.646633,-10.832419,-0.8142139
Brazil,have an extramarital affair,-0.7791666666666667,-11.798485,-10.098757,-1.6997284
Brazil,gamble,-0.49583333333333335,-11.019616,-10.3906975,-0.6289182
Brazil,have sex between unmarried adults,0.12395833333333334,-11.536314,-11.110911,-0.42540225
Lebanon,use contraceptives,0.21600000000000003,-11.189898,-10.82646,-0.36343774
Lebanon,get a divorce,0.387,-11.059241,-10.000775,-1.0584667
Lebanon,have an abortion,-0.48599999999999993,-11.962396,-10.077106,-1.8852882
Lebanon,be homosexual,-0.726,-11.452744,-10.052975,-1.3997688
Lebanon,drink alcohol,-0.261,-12.3843775,-10.635604,-1.7487729
Lebanon,have an extramarital affair,-0.914,-12.038661,-9.978754,-2.059907
Lebanon,gamble,-0.729,-11.175127,-9.90065,-1.2744758
Lebanon,have sex between unmarried adults,-0.76,-12.288053,-10.568393,-1.7196598
Nigeria,use contraceptives,-0.34335596508244426,-11.910457,-10.73152,-1.1789368
Nigeria,get a divorce,-0.4849660523763337,-11.97439,-10.395291,-1.5790994
Nigeria,have an abortion,-0.7904946653734238,-12.577119,-10.466123,-2.110996
Nigeria,be homosexual,-0.8428709990300679,-12.25722,-10.435496,-1.8217245
Nigeria,drink alcohol,-0.5819592628516004,-13.074175,-10.927051,-2.1471233
Nigeria,have an extramarital affair,-0.7138700290979632,-12.585047,-10.3751335,-2.2099135
Nigeria,gamble,-0.7623666343355966,-11.938536,-10.300699,-1.6378361
Nigeria,have sex between unmarried adults,-0.7235693501454898,-12.871269,-10.853785,-2.0174844
Japan,use contraceptives,0.6614285714285715,-11.057991,-10.995478,-0.06251402
Japan,get a divorce,0.42571428571428566,-10.737659,-10.124285,-0.6133742
Japan,have an abortion,0.17285714285714288,-11.352493,-9.905832,-1.4466612
Japan,be homosexual,0.07714285714285718,-11.116844,-10.19486,-0.9219823
Japan,drink alcohol,0.5971428571428571,-11.476504,-10.570529,-0.90597504
Japan,have an extramarital affair,-0.5542857142857143,-11.765225,-9.798268,-1.9669569
Japan,gamble,0.05714285714285716,-10.841866,-10.00577,-0.83609545
Japan,have sex between unmarried adults,0.2742857142857143,-11.518392,-10.746576,-0.77181554
Malaysia,use contraceptives,-0.1739659367396594,-12.101124,-10.719763,-1.3813617
Malaysia,get a divorce,-0.27128953771289543,-12.165937,-10.318421,-1.8475155
Malaysia,have an abortion,-0.7396593673965937,-12.8243,-10.352568,-2.4717314
Malaysia,be homosexual,-0.8357664233576643,-12.695617,-10.404337,-2.291281
Malaysia,drink alcohol,-0.5888077858880778,-13.361758,-10.909193,-2.452566
Malaysia,have an extramarital affair,-0.8783454987834549,-12.873393,-10.29383,-2.5795636
Malaysia,gamble,-0.6800486618004866,-12.215417,-10.186764,-2.0286539
Malaysia,have sex between unmarried adults,-0.8357664233576643,-13.255402,-10.80452,-2.4508822
Kenya,use contraceptives,0.14661654135338342,-11.437929,-10.660147,-0.7777824
Kenya,get a divorce,-0.40350877192982454,-11.626444,-10.123972,-1.5024722
Kenya,have an abortion,-0.7819548872180452,-12.268594,-10.208822,-2.0597708
Kenya,be homosexual,-0.8483709273182958,-11.933226,-10.160112,-1.7731129
