country,topic,pew_score,moral log prob,non moral log probs,log prob difference
United States,use contraceptives,0.4590818363273453,-11.4635515,-11.719566,0.25601473
United States,get a divorce,0.13273453093812376,-11.269956,-10.679463,-0.59049237
United States,have an abortion,-0.2964071856287425,-11.470725,-10.940631,-0.53009355
United States,be homosexual,-0.1586826347305389,-11.819201,-11.559359,-0.25984302
United States,drink alcohol,0.17764471057884232,-11.754434,-11.192525,-0.56190914
United States,have an extramarital affair,-0.8023952095808383,-12.13392,-10.866376,-1.2675438
United States,gamble,0.016966067864271434,-11.312516,-10.829915,-0.48259988
United States,have sex between unmarried adults,-0.04091816367265472,-11.756329,-11.768057,0.011727905
Czech Republic,use contraceptives,0.7185714285714285,-11.397521,-11.675927,0.27840585
Czech Republic,get a divorce,0.49428571428571433,-11.297762,-10.774195,-0.523568
Czech Republic,have an abortion,0.30857142857142855,-11.15217,-10.806166,-0.34600434
Czech Republic,be homosexual,0.42285714285714293,-11.278173,-10.97422,-0.30395374
Czech Republic,drink alcohol,0.24000000000000002,-11.505158,-11.072735,-0.43242374
Czech Republic,have an extramarital affair,-0.49,-11.959578,-10.824351,-1.1352264
Czech Republic,gamble,-0.5385714285714285,-11.201315,-10.848725,-0.35258994
Czech Republic,have sex between unmarried adults,0.5671428571428571,-11.437677,-11.542053,0.104375884
South Korea,use contraceptives,0.3250927070457355,-13.918352,-14.391317,0.47296676
South Korea,get a divorce,0.035846724351050685,-13.893587,-14.228915,0.33532754
South Korea,have an abortion,-0.40543881334981463,-14.715857,-14.430011,-0.2858448
South Korea,be homosexual,-0.4252163164400494,-16.24133,-15.385239,-0.85609186
South Korea,drink alcohol,0.11248454882571077,-15.502815,-15.078204,-0.4246108
South Korea,have an extramarital affair,-0.723114956736712,-15.0155,-14.416084,-0.59941626
South Korea,gamble,-0.7218788627935724,-14.126079,-14.228793,0.10271416
South Korea,have sex between unmarried adults,-0.09765142150803457,-15.335973,-15.224428,-0.11154537
Canada,use contraceptives,0.4550641940085592,-11.3972,-12.001719,0.6045206
Canada,get a divorce,0.275320970042796,-11.222621,-11.114278,-0.10834356
Canada,have an abortion,0.011412268188302432,-11.294978,-11.168658,-0.12632103
Canada,be homosexual,0.14122681883024255,-11.613822,-11.7407465,0.12692432
Canada,drink alcohol,0.21825962910128385,-11.635115,-11.687506,0.05239029
Canada,have an extramarital affair,-0.7132667617689016,-12.1559,-10.938677,-1.2172234
Canada,gamble,-0.05278174037089872,-11.303446,-11.118752,-0.18469425
Canada,have sex between unmarried adults,0.19258202567760344,-11.499422,-11.874586,0.37516326
France,use contraceptives,0.5119521912350598,-11.51675,-11.941456,0.42470545
France,get a divorce,0.37749003984063745,-11.532112,-11.221468,-0.31064445
France,have an abortion,0.25,-11.432455,-11.35499,-0.077466585
France,be homosexual,0.23804780876494025,-11.466442,-11.579018,0.11257563
France,drink alcohol,0.1254980079681275,-11.651228,-11.656274,0.005045891
France,have an extramarital affair,-0.34960159362549803,-11.909076,-10.940251,-0.968826
France,gamble,0.16334661354581675,-11.038625,-11.056897,0.018273449
France,have sex between unmarried adults,0.41035856573705176,-11.714992,-11.959007,0.24401554
Germany,use contraceptives,0.6614634146341464,-11.370744,-11.737238,0.36649427
Germany,get a divorce,0.5209756097560975,-11.337107,-10.970552,-0.36655396
Germany,have an abortion,0.2829268292682927,-11.217892,-11.086394,-0.131497
Germany,be homosexual,0.4478048780487805,-11.2226095,-11.190236,-0.032373857
Germany,drink alcohol,0.31219512195121946,-11.402162,-11.403645,0.0014830589
Germany,have an extramarital affair,-0.49365853658536585,-11.896917,-10.856934,-1.0399834
Germany,gamble,-0.047804878048780475,-10.880384,-10.896261,0.015876675
Germany,have sex between unmarried adults,0.5414634146341463,-11.577906,-11.762401,0.18449526
Spain,use contraceptives,0.616,-11.201317,-11.832812,0.6314961
Spain,get a divorce,0.5219999999999999,-11.187381,-10.991847,-0.19553328
Spain,have an abortion,0.09999999999999998,-11.042007,-11.086741,0.04473362
Spain,be homosexual,0.48500000000000004,-11.169594,-11.284025,0.11443291
Spain,drink alcohol,0.05600000000000002,-11.236846,-11.332906,0.09605966
Spain,have an extramarital affair,-0.561,-11.771551,-10.708374,-1.0631778
Spain,gamble,-0.09800000000000003,-10.915794,-10.896291,-0.01950388
Spain,have sex between unmarried adults,0.443,-11.365585,-11.685703,0.32011843
Mexico,use contraceptives,0.48,-11.419761,-11.244376,-0.1753839
Mexico,get a divorce,0.07700000000000001,-11.370832,-10.498314,-0.87251824
Mexico,have an abortion,-0.47,-11.486572,-10.561046,-0.92552644
Mexico,be homosexual,-0.04800000000000004,-11.65239,-10.850917,-0.8014722
Mexico,drink alcohol,-0.18800000000000003,-11.690145,-10.689924,-1.0002193
Mexico,have an extramarital affair,-0.633,-12.119775,-10.716547,-1.4032276
Mexico,gamble,-0.36,-11.349572,-10.385593,-0.9639791
Mexico,have sex between unmarried adults,-0.17099999999999999,-11.632268,-10.967352,-0.66491544
Chile,use contraceptives,0.7075,-11.293729,-11.379379,0.085650206
Chile,get a divorce,0.49999999999999994,-11.274243,-10.525863,-0.74838173
Chile,have an abortion,-0.45249999999999996,-11.220583,-10.492668,-0.72791386
Chile,be homosexual,0.15250000000000002,-11.262746,-10.655349,-0.60739696
Chile,drink alcohol,-0.015000000000000013,-11.506876,-10.787973,-0.718902
Chile,have an extramarital affair,-0.5487500000000001,-11.892071,-10.54987,-1.3422016
Chile,gamble,-0.305,-11.288419,-10.516754,-0.7716644
Chile,have sex between unmarried adults,0.44000000000000006,-11.378901,-11.062619,-0.31628174
Australia,use contraceptives,0.5675,-11.365361,-11.85864,0.4932782
Australia,get a divorce,0.40249999999999997,-11.338088,-10.954656,-0.38343248
Australia,have an abortion,0.08000000000000002,-11.210119,-10.941144,-0.26897565
Australia,be homosexual,0.17250000000000001,-11.471319,-11.358843,-0.11247625
Australia,drink alcohol,0.3,-11.478106,-11.353102,-0.1250031
Australia,have an extramarital affair,-0.75125,-12.103254,-10.869956,-1.2332984
Australia,gamble,-0.15625,-11.272329,-11.04766,-0.22466835
Australia,have sex between unmarried adults,0.245,-11.500649,-11.733057,0.2324071
Russia,use contraceptives,0.5582329317269077,-12.043833,-12.340687,0.29685393
Russia,get a divorce,0.24397590361445784,-11.599836,-11.601646,0.0018091202
Russia,have an abortion,-0.1927710843373494,-12.087007,-11.970416,-0.116589926
Russia,be homosexual,-0.6214859437751004,-12.808063,-12.498192,-0.30987054
Russia,drink alcohol,-0.17570281124497994,-12.378753,-11.996085,-0.38266706
Russia,have an extramarital affair,-0.6164658634538153,-12.672121,-11.757317,-0.91480494
Russia,gamble,-0.5050200803212852,-11.494527,-11.420372,-0.074155614
Russia,have sex between unmarried adults,0.10341365461847385,-12.614639,-12.659601,0.044961356
Britain,use contraceptives,0.5978260869565217,-11.525574,-11.989597,0.46402398
Britain,get a divorce,0.32806324110671936,-11.311302,-11.1111765,-0.20012593
Britain,have an abortion,0.018774703557312228,-11.405573,-11.171751,-0.23382273
Britain,be homosexual,0.17490118577075098,-11.5444765,-11.556615,0.012137508
Britain,drink alcohol,0.2924901185770751,-11.620786,-11.457102,-0.16368437
Britain,have an extramarital affair,-0.7045454545454546,-12.027097,-10.903234,-1.1238635
Britain,gamble,-0.047430830039525695,-11.166655,-11.018919,-0.14773484
Britain,have sex between unmarried adults,0.24901185770750991,-11.608268,-11.782546,0.1742785
Turkey,use contraceptives,0.19799999999999998,-12.078899,-11.537462,-0.5414368
Turkey,get a divorce,0.024999999999999967,-12.238002,-11.323746,-0.9142569
Turkey,have an abortion,-0.373,-12.678293,-11.636627,-1.0416648
Turkey,be homosexual,-0.681,-13.219366,-11.771608,-1.4477588
Turkey,drink alcohol,-0.544,-13.102751,-11.695705,-1.4070454
Turkey,have an extramarital affair,-0.899,-13.159436,-11.729274,-1.430163
Turkey,gamble,-0.685,-11.977085,-11.127463,-0.8496212
Turkey,have sex between unmarried adults,-0.8099999999999999,-13.070915,-11.787779,-1.2831373
Greece,use contraceptives,0.30300000000000005,-11.127691,-11.304014,0.17632231
Greece,get a divorce,0.23299999999999998,-10.965704,-10.4310055,-0.5346982
Greece,have an abortion,-0.381,-11.063307,-10.46825,-0.59505606
Greece,be homosexual,-0.21000000000000002,-11.002536,-10.606097,-0.3964386
Greece,drink alcohol,-0.010000000000000009,-11.400947,-10.725997,-0.6749506
Greece,have an extramarital affair,-0.737,-11.704676,-10.338765,-1.3659111
Greece,gamble,-0.446,-10.662977,-10.053388,-0.6095891
Greece,have sex between unmarried adults,0.484,-11.245883,-11.037323,-0.20856157
Egypt,use contraceptives,0.283,-11.353104,-11.01293,-0.3401741
Egypt,get a divorce,0.442,-11.320285,-10.245209,-1.0750761
Egypt,have an abortion,-0.571,-12.054285,-10.697858,-1.3564277
Egypt,be homosexual,-0.9359999999999999,-12.164621,-10.908178,-1.256443
Egypt,drink alcohol,-0.707,-12.372384,-10.9647665,-1.4076169
Egypt,have an extramarital affair,-0.909,-12.348117,-10.738996,-1.6091213
Egypt,gamble,-0.881,-11.557397,-10.381251,-1.1761452
Egypt,have sex between unmarried adults,-0.879,-12.590732,-11.225092,-1.3656394
Poland,use contraceptives,0.3125,-11.209564,-11.404427,0.19486341
Poland,get a divorce,0.14125000000000001,-11.272899,-10.637962,-0.63493675
Poland,have an abortion,-0.33125,-11.358735,-10.842886,-0.51584923
Poland,be homosexual,-0.205,-11.294988,-10.849352,-0.44563565
Poland,drink alcohol,0.20625000000000002,-11.683447,-11.064513,-0.61893326
Poland,have an extramarital affair,-0.61,-12.11091,-10.888266,-1.2226459
Poland,gamble,-0.10875000000000001,-10.770708,-10.501306,-0.26940233
Poland,have sex between unmarried adults,0.22124999999999997,-11.539616,-11.2829,-0.25671643
Senegal,use contraceptives,0.23124999999999996,-11.539236,-10.890923,-0.6483127
Senegal,get a divorce,0.03249999999999997,-11.822886,-10.422162,-1.400725
Senegal,have an abortion,-0.37749999999999995,-12.140066,-10.727948,-1.4121184
