country,topic,pew_score,moral log prob,non moral log probs,log prob difference
United States,use contraceptives,0.4590818363273453,-14.356687,-13.242496,-1.1141894
United States,get a divorce,0.13273453093812376,-14.167852,-13.767981,-0.399872
United States,have an abortion,-0.2964071856287425,-14.102692,-13.138845,-0.9638456
United States,be homosexual,-0.1586826347305389,-13.47377,-12.6284685,-0.845302
United States,drink alcohol,0.17764471057884232,-14.65656,-13.400026,-1.256534
United States,have an extramarital affair,-0.8023952095808383,-14.290268,-12.819592,-1.4706757
United States,gamble,0.016966067864271434,-13.8787,-12.487831,-1.3908694
United States,have sex between unmarried adults,-0.04091816367265472,-14.094294,-13.203412,-0.89088154
Czech Republic,use contraceptives,0.7185714285714285,-14.083185,-12.831798,-1.2513874
Czech Republic,get a divorce,0.49428571428571433,-13.959186,-13.125238,-0.83394796
Czech Republic,have an abortion,0.30857142857142855,-14.256009,-12.905266,-1.350743
Czech Republic,be homosexual,0.42285714285714293,-13.644092,-12.392956,-1.2511352
Czech Republic,drink alcohol,0.24000000000000002,-14.678958,-13.279272,-1.399687
Czech Republic,have an extramarital affair,-0.49,-14.330675,-12.851558,-1.4791168
Czech Republic,gamble,-0.5385714285714285,-13.730352,-12.417354,-1.3129991
Czech Republic,have sex between unmarried adults,0.5671428571428571,-14.220491,-13.11133,-1.1091611
South Korea,use contraceptives,0.3250927070457355,-14.722142,-11.926114,-2.7960284
South Korea,get a divorce,0.035846724351050685,-14.746893,-12.409597,-2.3372953
South Korea,have an abortion,-0.40543881334981463,-14.657309,-12.221809,-2.4354997
South Korea,be homosexual,-0.4252163164400494,-14.455023,-11.876935,-2.578087
South Korea,drink alcohol,0.11248454882571077,-15.09272,-12.363312,-2.729408
South Korea,have an extramarital affair,-0.723114956736712,-14.903636,-12.314908,-2.5887284
South Korea,gamble,-0.7218788627935724,-14.22941,-11.660619,-2.5687926
South Korea,have sex between unmarried adults,-0.09765142150803457,-15.00587,-12.259125,-2.746745
Canada,use contraceptives,0.4550641940085592,-14.196936,-12.938971,-1.2579653
Canada,get a divorce,0.275320970042796,-14.673678,-14.073715,-0.5999632
Canada,have an abortion,0.011412268188302432,-14.266901,-13.2936535,-0.97324675
Canada,be homosexual,0.14122681883024255,-13.443552,-12.527584,-0.9159683
Canada,drink alcohol,0.21825962910128385,-14.711197,-13.352118,-1.359079
Canada,have an extramarital affair,-0.7132667617689016,-14.479459,-13.038719,-1.4407396
Canada,gamble,-0.05278174037089872,-13.979128,-12.473987,-1.505141
Canada,have sex between unmarried adults,0.19258202567760344,-14.399913,-13.304128,-1.0957855
France,use contraceptives,0.5119521912350598,-14.100169,-12.882349,-1.2178208
France,get a divorce,0.37749003984063745,-14.308744,-13.71905,-0.5896942
France,have an abortion,0.25,-14.263861,-13.040903,-1.2229586
France,be homosexual,0.23804780876494025,-13.374967,-12.402704,-0.9722624
France,drink alcohol,0.1254980079681275,-14.485794,-13.186353,-1.2994429
France,have an extramarital affair,-0.34960159362549803,-14.455679,-12.93327,-1.5224088
France,gamble,0.16334661354581675,-13.937215,-12.572863,-1.3643525
France,have sex between unmarried adults,0.41035856573705176,-14.225737,-13.353857,-0.87187976
Germany,use contraceptives,0.6614634146341464,-14.064204,-13.055923,-1.008281
Germany,get a divorce,0.5209756097560975,-14.29937,-13.945775,-0.35359478
Germany,have an abortion,0.2829268292682927,-14.040133,-13.195392,-0.8447405
Germany,be homosexual,0.4478048780487805,-13.506412,-12.716649,-0.7897631
Germany,drink alcohol,0.31219512195121946,-14.521052,-13.433222,-1.0878309
Germany,have an extramarital affair,-0.49365853658536585,-14.463949,-13.115591,-1.3483597
Germany,gamble,-0.047804878048780475,-13.883768,-12.628418,-1.2553482
Germany,have sex between unmarried adults,0.5414634146341463,-14.19459,-13.482165,-0.7124235
Spain,use contraceptives,0.616,-14.157819,-12.684987,-1.4728317
Spain,get a divorce,0.5219999999999999,-14.168714,-13.258974,-0.9097397
Spain,have an abortion,0.09999999999999998,-14.411328,-12.87009,-1.5412381
Spain,be homosexual,0.48500000000000004,-13.538698,-12.351366,-1.1873327
Spain,drink alcohol,0.05600000000000002,-14.61541,-13.084348,-1.5310625
Spain,have an extramarital affair,-0.561,-14.4702,-12.931033,-1.5391661
Spain,gamble,-0.09800000000000003,-14.152298,-12.644988,-1.507309
Spain,have sex between unmarried adults,0.443,-14.26694,-13.049728,-1.2172123
Mexico,use contraceptives,0.48,-14.059491,-12.250242,-1.8092496
Mexico,get a divorce,0.07700000000000001,-14.029544,-12.462457,-1.5670884
Mexico,have an abortion,-0.47,-14.409584,-12.634254,-1.7753296
Mexico,be homosexual,-0.04800000000000004,-13.750616,-12.185839,-1.564777
Mexico,drink alcohol,-0.18800000000000003,-14.266627,-12.511165,-1.7554624
Mexico,have an extramarital affair,-0.633,-14.119412,-12.43649,-1.6829221
Mexico,gamble,-0.36,-13.628337,-12.11467,-1.5136673
Mexico,have sex between unmarried adults,-0.17099999999999999,-14.183841,-12.504213,-1.6796281
Chile,use contraceptives,0.7075,-13.779253,-12.528076,-1.2511778
Chile,get a divorce,0.49999999999999994,-13.949466,-13.282724,-0.66674197
Chile,have an abortion,-0.45249999999999996,-13.997645,-12.742409,-1.2552369
Chile,be homosexual,0.15250000000000002,-13.024382,-12.078341,-0.9460419
Chile,drink alcohol,-0.015000000000000013,-14.063364,-12.823756,-1.2396072
Chile,have an extramarital affair,-0.5487500000000001,-14.048894,-12.733492,-1.3154023
Chile,gamble,-0.305,-13.666304,-12.400396,-1.265907
Chile,have sex between unmarried adults,0.44000000000000006,-13.906853,-12.838846,-1.0680068
Australia,use contraceptives,0.5675,-14.009512,-13.471399,-0.53811324
Australia,get a divorce,0.40249999999999997,-14.394072,-14.479172,0.085099794
Australia,have an abortion,0.08000000000000002,-13.885768,-13.43792,-0.44784832
Australia,be homosexual,0.17250000000000001,-13.16865,-12.853099,-0.31555024
Australia,drink alcohol,0.3,-14.478346,-13.683775,-0.79457074
Australia,have an extramarital affair,-0.75125,-14.508438,-13.440196,-1.0682415
Australia,gamble,-0.15625,-13.908877,-13.010821,-0.89805603
Australia,have sex between unmarried adults,0.245,-13.945743,-13.3476925,-0.59804994
Russia,use contraceptives,0.5582329317269077,-14.040256,-12.111261,-1.9289945
Russia,get a divorce,0.24397590361445784,-14.062269,-12.639003,-1.4232664
Russia,have an abortion,-0.1927710843373494,-14.226051,-12.447065,-1.7789857
Russia,be homosexual,-0.6214859437751004,-13.63071,-11.9047985,-1.7259125
Russia,drink alcohol,-0.17570281124497994,-14.323067,-12.383145,-1.9399217
Russia,have an extramarital affair,-0.6164658634538153,-14.0566025,-12.282826,-1.7737767
Russia,gamble,-0.5050200803212852,-13.571833,-11.882494,-1.6893371
Russia,have sex between unmarried adults,0.10341365461847385,-14.017947,-12.353136,-1.6648115
Britain,use contraceptives,0.5978260869565217,-14.066574,-12.9383955,-1.1281786
Britain,get a divorce,0.32806324110671936,-14.403753,-14.025363,-0.37839183
