country,topic,pew_score,moral log prob,non moral log probs,log prob difference
United States,use contraceptives,0.4590818363273453,-10.303034,-10.5792465,0.276213
United States,get a divorce,0.13273453093812376,-9.906936,-9.523667,-0.38326907
United States,have an abortion,-0.2964071856287425,-10.220925,-9.63361,-0.58731544
United States,be homosexual,-0.1586826347305389,-10.753426,-10.053589,-0.69983685
United States,drink alcohol,0.17764471057884232,-10.486193,-9.949666,-0.53652734
United States,have an extramarital affair,-0.8023952095808383,-11.156569,-9.832356,-1.3242121
United States,gamble,0.016966067864271434,-9.96852,-9.649357,-0.31916326
United States,have sex between unmarried adults,-0.04091816367265472,-11.111623,-10.244136,-0.86748564
Czech Republic,use contraceptives,0.7185714285714285,-10.283687,-10.521914,0.23822717
Czech Republic,get a divorce,0.49428571428571433,-10.011945,-9.744904,-0.2670405
Czech Republic,have an abortion,0.30857142857142855,-10.296574,-9.623404,-0.6731701
Czech Republic,be homosexual,0.42285714285714293,-10.599668,-9.937242,-0.6624262
Czech Republic,drink alcohol,0.24000000000000002,-10.454792,-9.970509,-0.48428297
Czech Republic,have an extramarital affair,-0.49,-11.274595,-10.052812,-1.2217833
Czech Republic,gamble,-0.5385714285714285,-9.80379,-9.645409,-0.15838166
Czech Republic,have sex between unmarried adults,0.5671428571428571,-11.150698,-10.258917,-0.8917802
South Korea,use contraceptives,0.3250927070457355,-10.42964,-10.519102,0.0894619
South Korea,get a divorce,0.035846724351050685,-10.1003895,-9.472733,-0.6276575
South Korea,have an abortion,-0.40543881334981463,-10.458602,-9.635209,-0.8233938
South Korea,be homosexual,-0.4252163164400494,-10.971994,-10.181719,-0.790275
South Korea,drink alcohol,0.11248454882571077,-10.545504,-9.8458,-0.6997037
South Korea,have an extramarital affair,-0.723114956736712,-11.375296,-10.034798,-1.3404977
South Korea,gamble,-0.7218788627935724,-9.666493,-9.37895,-0.28754267
South Korea,have sex between unmarried adults,-0.09765142150803457,-11.371481,-10.401621,-0.96986043
Canada,use contraceptives,0.4550641940085592,-10.1790905,-10.720301,0.5412099
Canada,get a divorce,0.275320970042796,-9.883919,-9.732789,-0.15112972
Canada,have an abortion,0.011412268188302432,-10.099811,-9.71689,-0.3829207
Canada,be homosexual,0.14122681883024255,-10.65855,-10.265728,-0.39282203
Canada,drink alcohol,0.21825962910128385,-10.321447,-10.14365,-0.17779669
Canada,have an extramarital affair,-0.7132667617689016,-11.045701,-9.828752,-1.2169497
Canada,gamble,-0.05278174037089872,-9.789165,-9.734426,-0.054739714
Canada,have sex between unmarried adults,0.19258202567760344,-10.956555,-10.347784,-0.6087721
France,use contraceptives,0.5119521912350598,-10.03718,-10.459216,0.42203683
France,get a divorce,0.37749003984063745,-9.770413,-9.663149,-0.10726414
France,have an abortion,0.25,-9.982637,-9.531571,-0.45106658
France,be homosexual,0.23804780876494025,-10.436125,-10.089949,-0.34617585
France,drink alcohol,0.1254980079681275,-10.267563,-10.003372,-0.26419124
France,have an extramarital affair,-0.34960159362549803,-10.811891,-9.69124,-1.120651
France,gamble,0.16334661354581675,-9.604674,-9.561642,-0.043032885
France,have sex between unmarried adults,0.41035856573705176,-10.819476,-10.177372,-0.64210427
Germany,use contraceptives,0.6614634146341464,-10.284632,-10.737752,0.4531207
Germany,get a divorce,0.5209756097560975,-9.987909,-9.953038,-0.03487158
Germany,have an abortion,0.2829268292682927,-10.177189,-9.770145,-0.40704283
Germany,be homosexual,0.4478048780487805,-10.622231,-10.284852,-0.33737832
