country,topic,pew_score,moral log prob,non moral log probs,log prob difference
United States,use contraceptives,0.4590818363273453,-11.024114,-9.178175,-1.8459381
United States,get a divorce,0.13273453093812376,-10.210488,-9.53401,-0.67647755
United States,have an abortion,-0.2964071856287425,-10.059865,-8.990005,-1.0698608
United States,be homosexual,-0.1586826347305389,-10.564054,-9.030096,-1.5339571
United States,drink alcohol,0.17764471057884232,-10.741106,-9.240966,-1.5001407
United States,have an extramarital affair,-0.8023952095808383,-10.806529,-9.310082,-1.4964478
United States,gamble,0.016966067864271434,-9.809252,-8.76508,-1.0441713
United States,have sex between unmarried adults,-0.04091816367265472,-10.751406,-9.366636,-1.3847687
Czech Republic,use contraceptives,0.7185714285714285,-10.913858,-9.270566,-1.6432922
Czech Republic,get a divorce,0.49428571428571433,-10.318481,-9.495323,-0.82315695
Czech Republic,have an abortion,0.30857142857142855,-10.301159,-9.05567,-1.2454895
Czech Republic,be homosexual,0.42285714285714293,-10.760941,-9.260407,-1.5005337
Czech Republic,drink alcohol,0.24000000000000002,-10.772571,-9.360983,-1.4115875
Czech Republic,have an extramarital affair,-0.49,-10.884667,-9.408489,-1.4761779
Czech Republic,gamble,-0.5385714285714285,-10.010363,-9.015617,-0.9947449
Czech Republic,have sex between unmarried adults,0.5671428571428571,-10.793384,-9.417349,-1.3760344
South Korea,use contraceptives,0.3250927070457355,-11.248067,-9.656917,-1.5911499
South Korea,get a divorce,0.035846724351050685,-10.504443,-9.654928,-0.84951496
South Korea,have an abortion,-0.40543881334981463,-10.564451,-9.229436,-1.3350159
South Korea,be homosexual,-0.4252163164400494,-10.949438,-9.571963,-1.377475
South Korea,drink alcohol,0.11248454882571077,-11.017302,-9.562538,-1.4547638
South Korea,have an extramarital affair,-0.723114956736712,-11.06622,-9.593706,-1.4725131
South Korea,gamble,-0.7218788627935724,-10.220581,-9.282009,-0.93857133
South Korea,have sex between unmarried adults,-0.09765142150803457,-11.092417,-9.670359,-1.422058
Canada,use contraceptives,0.4550641940085592,-10.638839,-9.23612,-1.4027193
Canada,get a divorce,0.275320970042796,-10.0905485,-9.75115,-0.33939844
Canada,have an abortion,0.011412268188302432,-9.991461,-9.147411,-0.8440493
Canada,be homosexual,0.14122681883024255,-10.365636,-9.086369,-1.2792666
Canada,drink alcohol,0.21825962910128385,-10.461325,-9.225199,-1.2361268
Canada,have an extramarital affair,-0.7132667617689016,-10.603235,-9.335384,-1.2678499
Canada,gamble,-0.05278174037089872,-9.77878,-8.980188,-0.79859024
Canada,have sex between unmarried adults,0.19258202567760344,-10.513374,-9.426946,-1.0864289
France,use contraceptives,0.5119521912350598,-10.612097,-9.100488,-1.5116088
France,get a divorce,0.37749003984063745,-10.100046,-9.552441,-0.5476046
France,have an abortion,0.25,-10.06581,-9.0150385,-1.0507721
France,be homosexual,0.23804780876494025,-10.334547,-9.010835,-1.3237123
France,drink alcohol,0.1254980079681275,-10.456649,-9.176718,-1.2799317
France,have an extramarital affair,-0.34960159362549803,-10.627888,-9.308112,-1.3197753
France,gamble,0.16334661354581675,-9.765364,-8.989122,-0.77624226
France,have sex between unmarried adults,0.41035856573705176,-10.558447,-9.31448,-1.2439667
Germany,use contraceptives,0.6614634146341464,-10.570955,-9.134054,-1.4369018
Germany,get a divorce,0.5209756097560975,-10.076782,-9.5749035,-0.50187707
Germany,have an abortion,0.2829268292682927,-10.02376,-9.085661,-0.93809813
Germany,be homosexual,0.4478048780487805,-10.334567,-9.075486,-1.2590822
Germany,drink alcohol,0.31219512195121946,-10.447611,-9.240131,-1.20748
Germany,have an extramarital affair,-0.49365853658536585,-10.6149025,-9.342182,-1.2727203
