country,topic,pew_score,moral log prob,non moral log probs,log prob difference
United States,use contraceptives,0.4590818363273453,-7.04663,-6.067205,-0.97942513
United States,get a divorce,0.13273453093812376,-6.4869337,-5.420114,-1.0668194
United States,have an abortion,-0.2964071856287425,-5.8233747,-4.798108,-1.0252669
United States,be homosexual,-0.1586826347305389,-6.5529222,-5.1225724,-1.43035
United States,drink alcohol,0.17764471057884232,-8.038141,-7.74956,-0.2885806
United States,have an extramarital affair,-0.8023952095808383,-6.6259966,-5.000815,-1.6251822
United States,gamble,0.016966067864271434,-6.265591,-5.5993714,-0.66621965
United States,have sex between unmarried adults,-0.04091816367265472,-7.0191193,-5.535804,-1.4833149
Czech Republic,use contraceptives,0.7185714285714285,-7.2324767,-6.443396,-0.78908026
Czech Republic,get a divorce,0.49428571428571433,-6.6177645,-5.675093,-0.9426708
Czech Republic,have an abortion,0.30857142857142855,-6.3650284,-5.267089,-1.0979398
Czech Republic,be homosexual,0.42285714285714293,-7.283162,-5.819283,-1.4638791
Czech Republic,drink alcohol,0.24000000000000002,-8.501042,-8.154226,-0.34681597
Czech Republic,have an extramarital affair,-0.49,-6.90448,-5.681999,-1.2224807
Czech Republic,gamble,-0.5385714285714285,-6.709569,-6.4177675,-0.29180107
Czech Republic,have sex between unmarried adults,0.5671428571428571,-7.4006042,-5.955724,-1.4448805
South Korea,use contraceptives,0.3250927070457355,-7.217311,-6.4820037,-0.7353072
South Korea,get a divorce,0.035846724351050685,-6.594877,-5.983651,-0.6112265
South Korea,have an abortion,-0.40543881334981463,-6.202901,-5.3314257,-0.8714758
South Korea,be homosexual,-0.4252163164400494,-7.1301737,-5.985637,-1.1445363
South Korea,drink alcohol,0.11248454882571077,-8.477778,-8.547747,0.069966316
South Korea,have an extramarital affair,-0.723114956736712,-6.8370132,-5.8739405,-0.96307296
South Korea,gamble,-0.7218788627935724,-6.5872355,-6.845645,0.25840965
South Korea,have sex between unmarried adults,-0.09765142150803457,-7.4181366,-6.15117,-1.2669672
Canada,use contraceptives,0.4550641940085592,-6.968707,-6.169458,-0.7992484
Canada,get a divorce,0.275320970042796,-6.631383,-5.927213,-0.7041698
Canada,have an abortion,0.011412268188302432,-5.979621,-5.041229,-0.93839246
Canada,be homosexual,0.14122681883024255,-6.7757673,-5.498013,-1.2777551
Canada,drink alcohol,0.21825962910128385,-8.2761545,-8.231638,-0.04451742
Canada,have an extramarital affair,-0.7132667617689016,-6.7273126,-5.2267523,-1.5005592
Canada,gamble,-0.05278174037089872,-6.525796,-6.372564,-0.15323162
Canada,have sex between unmarried adults,0.19258202567760344,-7.1331835,-5.835013,-1.29817
