country,topic,pew_score,moral log prob,non moral log probs,log prob difference
United States,use contraceptives,0.4590818363273453,-10.735866,-10.547862,-0.18800297
United States,get a divorce,0.13273453093812376,-10.469641,-9.779341,-0.6903001
United States,have an abortion,-0.2964071856287425,-10.806517,-9.981648,-0.82486886
United States,be homosexual,-0.1586826347305389,-11.177786,-10.28639,-0.89139616
United States,drink alcohol,0.17764471057884232,-11.131455,-10.228089,-0.90336543
United States,have an extramarital affair,-0.8023952095808383,-11.606852,-9.995593,-1.6112583
United States,gamble,0.016966067864271434,-10.334285,-9.831687,-0.5025983
United States,have sex between unmarried adults,-0.04091816367265472,-11.172113,-10.442652,-0.7294622
Czech Republic,use contraceptives,0.7185714285714285,-11.035648,-11.079894,0.044245817
Czech Republic,get a divorce,0.49428571428571433,-10.69547,-10.428797,-0.26667318
Czech Republic,have an abortion,0.30857142857142855,-11.033096,-10.548695,-0.48440218
Czech Republic,be homosexual,0.42285714285714293,-11.290123,-10.784487,-0.50563735
Czech Republic,drink alcohol,0.24000000000000002,-11.219029,-10.782494,-0.43653584
Czech Republic,have an extramarital affair,-0.49,-11.6461315,-10.444674,-1.2014592
Czech Republic,gamble,-0.5385714285714285,-10.508233,-10.46352,-0.044712257
Czech Republic,have sex between unmarried adults,0.5671428571428571,-11.293606,-10.954754,-0.33885106
South Korea,use contraceptives,0.3250927070457355,-11.033022,-10.559828,-0.47319382
South Korea,get a divorce,0.035846724351050685,-10.900107,-9.852448,-1.0476596
South Korea,have an abortion,-0.40543881334981463,-11.289424,-10.095121,-1.1943033
South Korea,be homosexual,-0.4252163164400494,-11.705655,-10.400447,-1.3052084
South Korea,drink alcohol,0.11248454882571077,-11.428943,-10.222555,-1.2063873
South Korea,have an extramarital affair,-0.723114956736712,-12.012049,-10.24565,-1.7663977
South Korea,gamble,-0.7218788627935724,-10.429285,-9.6467495,-0.78253525
South Korea,have sex between unmarried adults,-0.09765142150803457,-11.876185,-10.669623,-1.2065622
Canada,use contraceptives,0.4550641940085592,-10.616507,-10.735954,0.11944766
Canada,get a divorce,0.275320970042796,-10.360322,-10.059843,-0.30047852
Canada,have an abortion,0.011412268188302432,-10.601683,-10.123483,-0.47819978
Canada,be homosexual,0.14122681883024255,-10.851874,-10.3926525,-0.45922223
Canada,drink alcohol,0.21825962910128385,-10.951495,-10.50675,-0.44474497
Canada,have an extramarital affair,-0.7132667617689016,-11.32959,-10.012541,-1.3170497
Canada,gamble,-0.05278174037089872,-10.210691,-10.027536,-0.18315525
Canada,have sex between unmarried adults,0.19258202567760344,-10.912363,-10.576071,-0.33629188
France,use contraceptives,0.5119521912350598,-10.671116,-10.789636,0.118519925
France,get a divorce,0.37749003984063745,-10.306837,-10.152894,-0.15394183
France,have an abortion,0.25,-10.585994,-10.20315,-0.38284403
France,be homosexual,0.23804780876494025,-10.809375,-10.486084,-0.32329068
France,drink alcohol,0.1254980079681275,-10.929682,-10.609906,-0.31977654
France,have an extramarital affair,-0.34960159362549803,-11.163478,-10.061214,-1.1022632
France,gamble,0.16334661354581675,-10.124992,-10.119916,-0.0050767898
France,have sex between unmarried adults,0.41035856573705176,-10.979241,-10.762545,-0.21669683
Germany,use contraceptives,0.6614634146341464,-10.811858,-10.992734,0.18087535
Germany,get a divorce,0.5209756097560975,-10.411589,-10.301664,-0.109925315
Germany,have an abortion,0.2829268292682927,-10.706152,-10.368087,-0.3380654
Germany,be homosexual,0.4478048780487805,-10.874784,-10.630693,-0.24409088
Germany,drink alcohol,0.31219512195121946,-10.98197,-10.715719,-0.26625055
Germany,have an extramarital affair,-0.49365853658536585,-11.263668,-10.182619,-1.0810486
Germany,gamble,-0.047804878048780475,-10.210313,-10.2713175,0.061004926
Germany,have sex between unmarried adults,0.5414634146341463,-11.063983,-10.89576,-0.16822329
Spain,use contraceptives,0.616,-10.764494,-10.878977,0.11448202
Spain,get a divorce,0.5219999999999999,-10.360319,-10.202726,-0.1575931
Spain,have an abortion,0.09999999999999998,-10.641884,-10.241883,-0.40000063
Spain,be homosexual,0.48500000000000004,-10.898523,-10.540016,-0.35850716
Spain,drink alcohol,0.05600000000000002,-10.932905,-10.598271,-0.33463335
Spain,have an extramarital affair,-0.561,-11.253563,-10.097852,-1.1557114
Spain,gamble,-0.09800000000000003,-10.25347,-10.193409,-0.060061168
Spain,have sex between unmarried adults,0.443,-10.984544,-10.753997,-0.23054643
Mexico,use contraceptives,0.48,-11.010368,-10.605991,-0.40437752
Mexico,get a divorce,0.07700000000000001,-10.846605,-9.900907,-0.94569886
Mexico,have an abortion,-0.47,-11.066528,-10.060367,-1.006162
Mexico,be homosexual,-0.04800000000000004,-11.378273,-10.322372,-1.0558997
Mexico,drink alcohol,-0.18800000000000003,-11.319217,-10.242889,-1.076327
Mexico,have an extramarital affair,-0.633,-11.718748,-10.088001,-1.6307461
Mexico,gamble,-0.36,-10.510819,-9.761732,-0.74908715
Mexico,have sex between unmarried adults,-0.17099999999999999,-11.4201145,-10.414869,-1.0052446
Chile,use contraceptives,0.7075,-10.91671,-10.874121,-0.04258914
Chile,get a divorce,0.49999999999999994,-10.626599,-10.15684,-0.46975756
Chile,have an abortion,-0.45249999999999996,-10.871751,-10.210156,-0.6615945
Chile,be homosexual,0.15250000000000002,-11.155719,-10.489903,-0.66581595
Chile,drink alcohol,-0.015000000000000013,-11.089199,-10.435194,-0.6540053
Chile,have an extramarital affair,-0.5487500000000001,-11.532182,-10.177328,-1.3548539
Chile,gamble,-0.305,-10.460808,-10.106529,-0.354278
Chile,have sex between unmarried adults,0.44000000000000006,-11.184172,-10.656717,-0.527455
Australia,use contraceptives,0.5675,-10.794732,-10.842605,0.047872353
Australia,get a divorce,0.40249999999999997,-10.55214,-10.1570835,-0.39505744
Australia,have an abortion,0.08000000000000002,-10.765393,-10.181742,-0.58365244
Australia,be homosexual,0.17250000000000001,-11.129995,-10.551843,-0.5781529
Australia,drink alcohol,0.3,-11.09318,-10.586079,-0.50710243
Australia,have an extramarital affair,-0.75125,-11.496666,-10.106663,-1.3900028
Australia,gamble,-0.15625,-10.416254,-10.157392,-0.25886154
Australia,have sex between unmarried adults,0.245,-11.108315,-10.678557,-0.429758
Russia,use contraceptives,0.5582329317269077,-11.097581,-10.616735,-0.4808456
Russia,get a divorce,0.24397590361445784,-10.692988,-9.893599,-0.79938906
Russia,have an abortion,-0.1927710843373494,-11.112096,-10.095979,-1.0161171
Russia,be homosexual,-0.6214859437751004,-11.530323,-10.383959,-1.1463641
