country,topic,pew_score,moral log prob,non moral log probs,log prob difference
United States,use contraceptives,0.4590818363273453,-11.182486,-9.579086,-1.6033996
United States,get a divorce,0.13273453093812376,-10.113596,-9.975866,-0.13772976
United States,have an abortion,-0.2964071856287425,-10.378051,-9.566683,-0.811368
United States,be homosexual,-0.1586826347305389,-10.449984,-9.353519,-1.0964631
United States,drink alcohol,0.17764471057884232,-10.958649,-9.914164,-1.0444858
United States,have an extramarital affair,-0.8023952095808383,-10.840837,-9.646921,-1.1939151
United States,gamble,0.016966067864271434,-9.651962,-9.082232,-0.5697298
United States,have sex between unmarried adults,-0.04091816367265472,-10.975595,-10.052614,-0.92297983
Czech Republic,use contraceptives,0.7185714285714285,-10.771434,-9.403499,-1.3679352
Czech Republic,get a divorce,0.49428571428571433,-10.220892,-9.511098,-0.70979345
Czech Republic,have an abortion,0.30857142857142855,-10.589313,-9.373746,-1.2155672
Czech Republic,be homosexual,0.42285714285714293,-10.3986,-9.164781,-1.2338197
Czech Republic,drink alcohol,0.24000000000000002,-10.793849,-9.734416,-1.059433
Czech Republic,have an extramarital affair,-0.49,-10.874005,-9.636218,-1.2377872
Czech Republic,gamble,-0.5385714285714285,-9.630797,-9.143566,-0.48723182
Czech Republic,have sex between unmarried adults,0.5671428571428571,-10.810561,-9.632974,-1.1775881
South Korea,use contraceptives,0.3250927070457355,-10.785971,-9.074101,-1.7118686
South Korea,get a divorce,0.035846724351050685,-10.109723,-9.086264,-1.0234592
South Korea,have an abortion,-0.40543881334981463,-10.510727,-8.905496,-1.6052309
South Korea,be homosexual,-0.4252163164400494,-10.227119,-8.837392,-1.3897278
South Korea,drink alcohol,0.11248454882571077,-10.775957,-9.331478,-1.4444792
South Korea,have an extramarital affair,-0.723114956736712,-10.642941,-9.176677,-1.466263
South Korea,gamble,-0.7218788627935724,-9.512679,-8.903326,-0.6093538
South Korea,have sex between unmarried adults,-0.09765142150803457,-10.687146,-9.157565,-1.5295808
Canada,use contraceptives,0.4550641940085592,-10.719366,-9.643441,-1.0759246
Canada,get a divorce,0.275320970042796,-10.175221,-10.292487,0.11726632
Canada,have an abortion,0.011412268188302432,-10.183542,-9.734912,-0.4486298
Canada,be homosexual,0.14122681883024255,-10.142957,-9.446924,-0.6960328
Canada,drink alcohol,0.21825962910128385,-10.653689,-9.905271,-0.7484193
Canada,have an extramarital affair,-0.7132667617689016,-10.676798,-9.734372,-0.9424259
Canada,gamble,-0.05278174037089872,-9.596695,-9.267566,-0.32912904
Canada,have sex between unmarried adults,0.19258202567760344,-10.652285,-10.089198,-0.563086
France,use contraceptives,0.5119521912350598,-10.57224,-9.393023,-1.1792177
France,get a divorce,0.37749003984063745,-10.084793,-9.836641,-0.24815102
France,have an abortion,0.25,-10.347175,-9.547153,-0.8000215
France,be homosexual,0.23804780876494025,-10.035929,-9.207123,-0.8288058
France,drink alcohol,0.1254980079681275,-10.600882,-9.810183,-0.79069835
France,have an extramarital affair,-0.34960159362549803,-10.697977,-9.697009,-1.0009679
France,gamble,0.16334661354581675,-9.450392,-9.231343,-0.21904922
France,have sex between unmarried adults,0.41035856573705176,-10.690544,-9.851992,-0.83855265
Germany,use contraceptives,0.6614634146341464,-10.542901,-9.476995,-1.0659058
Germany,get a divorce,0.5209756097560975,-10.047249,-9.879158,-0.16809118
Germany,have an abortion,0.2829268292682927,-10.237746,-9.578868,-0.65887773
Germany,be homosexual,0.4478048780487805,-10.0163145,-9.292643,-0.7236725
Germany,drink alcohol,0.31219512195121946,-10.553823,-9.833966,-0.7198579
Germany,have an extramarital affair,-0.49365853658536585,-10.667875,-9.743225,-0.9246494
Germany,gamble,-0.047804878048780475,-9.440892,-9.315846,-0.12504585
Germany,have sex between unmarried adults,0.5414634146341463,-10.540304,-9.829514,-0.71079105
Spain,use contraceptives,0.616,-10.6376095,-9.447054,-1.1905549
Spain,get a divorce,0.5219999999999999,-10.148764,-9.88393,-0.26483476
Spain,have an abortion,0.09999999999999998,-10.436605,-9.506948,-0.929657
Spain,be homosexual,0.48500000000000004,-10.188177,-9.287454,-0.90072346
Spain,drink alcohol,0.05600000000000002,-10.668062,-9.830257,-0.8378053
Spain,have an extramarital affair,-0.561,-10.720497,-9.736143,-0.984354
Spain,gamble,-0.09800000000000003,-9.540372,-9.232532,-0.30783993
Spain,have sex between unmarried adults,0.443,-10.690476,-9.788224,-0.9022522
Mexico,use contraceptives,0.48,-10.971472,-9.367679,-1.6037934
Mexico,get a divorce,0.07700000000000001,-10.232118,-9.491556,-0.7405616
Mexico,have an abortion,-0.47,-10.740741,-9.372366,-1.3683748
Mexico,be homosexual,-0.04800000000000004,-10.42854,-9.142233,-1.286307
Mexico,drink alcohol,-0.18800000000000003,-10.830296,-9.646778,-1.1835176
Mexico,have an extramarital affair,-0.633,-10.751885,-9.524714,-1.2271702
Mexico,gamble,-0.36,-9.6854,-9.1767025,-0.5086976
Mexico,have sex between unmarried adults,-0.17099999999999999,-10.828465,-9.596846,-1.2316194
Chile,use contraceptives,0.7075,-10.613955,-9.443428,-1.1705261
Chile,get a divorce,0.49999999999999994,-9.999128,-9.703504,-0.2956242
Chile,have an abortion,-0.45249999999999996,-10.423791,-9.488311,-0.93547994
Chile,be homosexual,0.15250000000000002,-10.181041,-9.301494,-0.87954724
Chile,drink alcohol,-0.015000000000000013,-10.526271,-9.691359,-0.8349124
Chile,have an extramarital affair,-0.5487500000000001,-10.658723,-9.701962,-0.95676005
Chile,gamble,-0.305,-9.519327,-9.263196,-0.25613096
Chile,have sex between unmarried adults,0.44000000000000006,-10.590381,-9.712503,-0.87787783
Australia,use contraceptives,0.5675,-10.67724,-9.632987,-1.0442536
Australia,get a divorce,0.40249999999999997,-10.1132,-10.230772,0.11757171
Australia,have an abortion,0.08000000000000002,-10.115701,-9.747173,-0.36852726
Australia,be homosexual,0.17250000000000001,-10.176992,-9.558032,-0.6189606
Australia,drink alcohol,0.3,-10.618025,-9.958589,-0.6594361
Australia,have an extramarital affair,-0.75125,-10.807869,-9.88656,-0.9213077
Australia,gamble,-0.15625,-9.472353,-9.313914,-0.15843828
Australia,have sex between unmarried adults,0.245,-10.6018095,-10.080173,-0.521637
Russia,use contraceptives,0.5582329317269077,-10.862305,-9.542013,-1.3202913
Russia,get a divorce,0.24397590361445784,-10.006136,-9.727066,-0.27906886
Russia,have an abortion,-0.1927710843373494,-10.447239,-9.547232,-0.9000063
Russia,be homosexual,-0.6214859437751004,-10.107036,-9.258124,-0.8489109
Russia,drink alcohol,-0.17570281124497994,-10.709459,-9.792536,-0.9169222
Russia,have an extramarital affair,-0.6164658634538153,-10.637613,-9.685354,-0.95225877
Russia,gamble,-0.5050200803212852,-9.454794,-9.3435545,-0.11123977
Russia,have sex between unmarried adults,0.10341365461847385,-10.692243,-9.800066,-0.89217556
Britain,use contraceptives,0.5978260869565217,-10.661217,-9.578013,-1.0832033
Britain,get a divorce,0.32806324110671936,-9.999605,-10.162306,0.16270116
Britain,have an abortion,0.018774703557312228,-10.137014,-9.753858,-0.3831574
Britain,be homosexual,0.17490118577075098,-10.083326,-9.431439,-0.6518862
Britain,drink alcohol,0.2924901185770751,-10.632433,-9.88058,-0.7518525
Britain,have an extramarital affair,-0.7045454545454546,-10.73704,-9.9053955,-0.83164406
Britain,gamble,-0.047430830039525695,-9.49231,-9.297409,-0.19490059
Britain,have sex between unmarried adults,0.24901185770750991,-10.5405245,-9.99856,-0.54196477
Turkey,use contraceptives,0.19799999999999998,-11.287719,-9.463512,-1.8242066
Turkey,get a divorce,0.024999999999999967,-10.346408,-9.448721,-0.8976873
Turkey,have an abortion,-0.373,-11.221418,-9.6737,-1.5477175
Turkey,be homosexual,-0.681,-10.832081,-9.355173,-1.4769077
Turkey,drink alcohol,-0.544,-11.349544,-9.86927,-1.4802735
Turkey,have an extramarital affair,-0.899,-11.022405,-9.57714,-1.4452641
Turkey,gamble,-0.685,-9.82859,-9.393583,-0.43500662
Turkey,have sex between unmarried adults,-0.8099999999999999,-11.200198,-9.685125,-1.5150728
Greece,use contraceptives,0.30300000000000005,-10.596807,-9.6398945,-0.9569122
Greece,get a divorce,0.23299999999999998,-10.0568905,-10.0029125,-0.05397694
Greece,have an abortion,-0.381,-10.439556,-9.758348,-0.68120736
Greece,be homosexual,-0.21000000000000002,-10.132278,-9.53612,-0.59615797
Greece,drink alcohol,-0.010000000000000009,-10.576628,-9.922823,-0.6538056
Greece,have an extramarital affair,-0.737,-10.639651,-9.82217,-0.81748104
Greece,gamble,-0.446,-9.400328,-9.463811,0.063482665
Greece,have sex between unmarried adults,0.484,-10.733104,-10.0235,-0.70960397
Egypt,use contraceptives,0.283,-11.480278,-9.32822,-2.1520572
Egypt,get a divorce,0.442,-10.429933,-9.268423,-1.1615088
Egypt,have an abortion,-0.571,-11.370379,-9.619479,-1.7509003
Egypt,be homosexual,-0.9359999999999999,-11.107459,-9.394785,-1.7126744
Egypt,drink alcohol,-0.707,-11.5465145,-9.8548,-1.6917146
Egypt,have an extramarital affair,-0.909,-11.153215,-9.477369,-1.6758461
Egypt,gamble,-0.881,-9.944911,-9.2976055,-0.6473054
Egypt,have sex between unmarried adults,-0.879,-11.347702,-9.594721,-1.7529818
Poland,use contraceptives,0.3125,-10.703756,-9.462319,-1.2414367
Poland,get a divorce,0.14125000000000001,-10.178231,-9.665602,-0.51262856
Poland,have an abortion,-0.33125,-10.782057,-9.635655,-1.146402
Poland,be homosexual,-0.205,-10.348528,-9.3310995,-1.0174286
Poland,drink alcohol,0.20625000000000002,-10.921,-9.907107,-1.0138917
Poland,have an extramarital affair,-0.61,-10.797495,-9.709704,-1.0877903
Poland,gamble,-0.10875000000000001,-9.553211,-9.456175,-0.097037
Poland,have sex between unmarried adults,0.22124999999999997,-10.839273,-9.818986,-1.0202882
Senegal,use contraceptives,0.23124999999999996,-11.1964445,-9.304306,-1.8921387
Senegal,get a divorce,0.03249999999999997,-10.43735,-9.385678,-1.0516728
Senegal,have an abortion,-0.37749999999999995,-11.344015,-9.668331,-1.675684
Senegal,be homosexual,-0.6525,-10.963861,-9.369246,-1.5946167
Senegal,drink alcohol,-0.5325,-11.160021,-9.744316,-1.4157044
Senegal,have an extramarital affair,-0.63625,-11.192151,-9.686556,-1.505595
Senegal,gamble,-0.56125,-9.93363,-9.362162,-0.5714692
Senegal,have sex between unmarried adults,-0.56875,-11.242007,-9.643531,-1.5984771
Italy,use contraceptives,0.5574660633484162,-10.556343,-9.403429,-1.1529146
Italy,get a divorce,0.3357466063348416,-10.134642,-9.874113,-0.260529
