country,question,mcm_score,universal_mcm_score,pew_rating,pew_score
United States,using contraceptives,-0.28686752915382385,-0.10303444415330887,"{'Morally acceptable': 0.5199600798403193, 'Not a moral issue': 0.36726546906187624, 'Morally unacceptable': 0.06087824351297405}",0.4590818363273453
United States,getting a divorce,-0.6001129746437073,-0.6848945021629333,"{'Morally acceptable': 0.3403193612774451, 'Not a moral issue': 0.36427145708582837, 'Morally unacceptable': 0.20758483033932135}",0.13273453093812376
United States,having an abortion,-0.6115703582763672,-0.7290788292884827,"{'Morally acceptable': 0.17465069860279442, 'Not a moral issue': 0.249500998003992, 'Morally unacceptable': 0.47105788423153694}",-0.2964071856287425
United States,homosexuality,0.21874600648880005,0.4466725289821625,"{'Morally acceptable': 0.2125748502994012, 'Not a moral issue': 0.35429141716566864, 'Morally unacceptable': 0.3712574850299401}",-0.1586826347305389
United States,drinking alcohol,-0.239002987742424,0.013909057714045048,"{'Morally acceptable': 0.33033932135728544, 'Not a moral issue': 0.4590818363273453, 'Morally unacceptable': 0.15269461077844312}",0.17764471057884232
United States,married people having an affair,-0.3430110812187195,-0.24185128509998322,"{'Morally acceptable': 0.03293413173652695, 'Not a moral issue': 0.10578842315369262, 'Morally unacceptable': 0.8353293413173652}",-0.8023952095808383
United States,gambling,-0.1674797683954239,-0.21771496534347534,"{'Morally acceptable': 0.249500998003992, 'Not a moral issue': 0.4750499001996008, 'Morally unacceptable': 0.23253493013972057}",0.016966067864271434
United States,sex between unmarried adults,-0.4075566828250885,-0.3198992609977722,"{'Morally acceptable': 0.27944111776447106, 'Not a moral issue': 0.3582834331337325, 'Morally unacceptable': 0.3203592814371258}",-0.04091816367265472
Czech Republic,using contraceptives,-0.1594691425561905,-0.10303444415330887,"{'Morally acceptable': 0.7414285714285714, 'Not a moral issue': 0.21428571428571427, 'Morally unacceptable': 0.022857142857142857}",0.7185714285714285
Czech Republic,getting a divorce,-0.476633220911026,-0.6848945021629333,"{'Morally acceptable': 0.6042857142857143, 'Not a moral issue': 0.21428571428571427, 'Morally unacceptable': 0.11}",0.49428571428571433
Czech Republic,having an abortion,-0.5443751811981201,-0.7290788292884827,"{'Morally acceptable': 0.48857142857142855, 'Not a moral issue': 0.18428571428571427, 'Morally unacceptable': 0.18}",0.30857142857142855
Czech Republic,homosexuality,0.19763462245464325,0.4466725289821625,"{'Morally acceptable': 0.56, 'Not a moral issue': 0.2671428571428571, 'Morally unacceptable': 0.13714285714285715}",0.42285714285714293
Czech Republic,drinking alcohol,-0.15686888992786407,0.013909057714045048,"{'Morally acceptable': 0.45571428571428574, 'Not a moral issue': 0.24285714285714285, 'Morally unacceptable': 0.21571428571428572}",0.24000000000000002
Czech Republic,married people having an affair,-0.22575581073760986,-0.24185128509998322,"{'Morally acceptable': 0.16714285714285715, 'Not a moral issue': 0.10428571428571429, 'Morally unacceptable': 0.6571428571428571}",-0.49
Czech Republic,gambling,-0.16257014870643616,-0.21771496534347534,"{'Morally acceptable': 0.11428571428571428, 'Not a moral issue': 0.18714285714285714, 'Morally unacceptable': 0.6528571428571428}",-0.5385714285714285
Czech Republic,sex between unmarried adults,-0.3155808448791504,-0.3198992609977722,"{'Morally acceptable': 0.6714285714285714, 'Not a moral issue': 0.18142857142857144, 'Morally unacceptable': 0.10428571428571429}",0.5671428571428571
South Korea,using contraceptives,-0.15600383281707764,-0.10303444415330887,"{'Morally acceptable': 0.4820766378244747, 'Not a moral issue': 0.2546353522867738, 'Morally unacceptable': 0.15698393077873918}",0.3250927070457355
South Korea,getting a divorce,-0.517074704170227,-0.6848945021629333,"{'Morally acceptable': 0.30902348578491967, 'Not a moral issue': 0.2830655129789864, 'Morally unacceptable': 0.273176761433869}",0.035846724351050685
South Korea,having an abortion,-0.5704370141029358,-0.7290788292884827,"{'Morally acceptable': 0.1841779975278121, 'Not a moral issue': 0.11248454882571075, 'Morally unacceptable': 0.5896168108776267}",-0.40543881334981463
South Korea,homosexuality,0.2632768750190735,0.4466725289821625,"{'Morally acceptable': 0.17058096415327564, 'Not a moral issue': 0.19777503090234858, 'Morally unacceptable': 0.595797280593325}",-0.4252163164400494
South Korea,drinking alcohol,-0.11566965281963348,0.013909057714045048,"{'Morally acceptable': 0.33498145859085293, 'Not a moral issue': 0.34981458590852904, 'Morally unacceptable': 0.22249690976514216}",0.11248454882571077
South Korea,married people having an affair,-0.24990399181842804,-0.24185128509998322,"{'Morally acceptable': 0.08281829419035847, 'Not a moral issue': 0.07911001236093942, 'Morally unacceptable': 0.8059332509270705}",-0.723114956736712
South Korea,gambling,-0.20099763572216034,-0.21771496534347534,"{'Morally acceptable': 0.06798516687268233, 'Not a moral issue': 0.11495673671199011, 'Morally unacceptable': 0.7898640296662547}",-0.7218788627935724
South Korea,sex between unmarried adults,-0.32849061489105225,-0.3198992609977722,"{'Morally acceptable': 0.27070457354758964, 'Not a moral issue': 0.276885043263288, 'Morally unacceptable': 0.3683559950556242}",-0.09765142150803457
Canada,using contraceptives,-0.4163912236690521,-0.10303444415330887,"{'Morally acceptable': 0.4921540656205421, 'Not a moral issue': 0.43081312410841655, 'Morally unacceptable': 0.037089871611982884}",0.4550641940085592
Canada,getting a divorce,-0.731144905090332,-0.6848945021629333,"{'Morally acceptable': 0.369472182596291, 'Not a moral issue': 0.4693295292439372, 'Morally unacceptable': 0.09415121255349501}",0.275320970042796
Canada,having an abortion,-0.7335332632064819,-0.7290788292884827,"{'Morally acceptable': 0.2653352353780314, 'Not a moral issue': 0.3666191155492154, 'Morally unacceptable': 0.25392296718972895}",0.011412268188302432
Canada,homosexuality,0.11668352782726288,0.4466725289821625,"{'Morally acceptable': 0.2995720399429387, 'Not a moral issue': 0.4921540656205421, 'Morally unacceptable': 0.15834522111269614}",0.14122681883024255
Canada,drinking alcohol,-0.3626660108566284,0.013909057714045048,"{'Morally acceptable': 0.31098430813124106, 'Not a moral issue': 0.5634807417974322, 'Morally unacceptable': 0.09272467902995721}",0.21825962910128385
Canada,married people having an affair,-0.465570867061615,-0.24185128509998322,"{'Morally acceptable': 0.039942938659058486, 'Not a moral issue': 0.17403708987161198, 'Morally unacceptable': 0.7532097004279601}",-0.7132667617689016
Canada,gambling,-0.35691460967063904,-0.21771496534347534,"{'Morally acceptable': 0.1840228245363766, 'Not a moral issue': 0.543509272467903, 'Morally unacceptable': 0.23680456490727533}",-0.05278174037089872
Canada,sex between unmarried adults,-0.4996105134487152,-0.3198992609977722,"{'Morally acceptable': 0.34522111269614836, 'Not a moral issue': 0.46790299572039945, 'Morally unacceptable': 0.15263908701854492}",0.19258202567760344
France,using contraceptives,-0.12506577372550964,-0.10303444415330887,"{'Morally acceptable': 0.5408366533864541, 'Not a moral issue': 0.4302788844621514, 'Morally unacceptable': 0.02888446215139442}",0.5119521912350598
France,getting a divorce,-0.5561639070510864,-0.6848945021629333,"{'Morally acceptable': 0.4213147410358566, 'Not a moral issue': 0.5338645418326693, 'Morally unacceptable': 0.043824701195219126}",0.37749003984063745
France,having an abortion,-0.49545052647590637,-0.7290788292884827,"{'Morally acceptable': 0.37350597609561753, 'Not a moral issue': 0.4960159362549801, 'Morally unacceptable': 0.12350597609561753}",0.25
France,homosexuality,0.26868176460266113,0.4466725289821625,"{'Morally acceptable': 0.3565737051792829, 'Not a moral issue': 0.5249003984063745, 'Morally unacceptable': 0.11852589641434264}",0.23804780876494025
France,drinking alcohol,-0.094334676861763,0.013909057714045048,"{'Morally acceptable': 0.2639442231075697, 'Not a moral issue': 0.5906374501992032, 'Morally unacceptable': 0.13844621513944222}",0.1254980079681275
France,married people having an affair,-0.22064337134361267,-0.24185128509998322,"{'Morally acceptable': 0.12151394422310757, 'Not a moral issue': 0.4063745019920319, 'Morally unacceptable': 0.4711155378486056}",-0.34960159362549803
France,gambling,-0.09423571825027466,-0.21771496534347534,"{'Morally acceptable': 0.2968127490039841, 'Not a moral issue': 0.5687250996015937, 'Morally unacceptable': 0.13346613545816732}",0.16334661354581675
France,sex between unmarried adults,-0.33888277411460876,-0.3198992609977722,"{'Morally acceptable': 0.4591633466135458, 'Not a moral issue': 0.4910358565737052, 'Morally unacceptable': 0.04880478087649402}",0.41035856573705176
Germany,using contraceptives,-0.6546587944030762,-0.10303444415330887,"{'Morally acceptable': 0.6702439024390244, 'Not a moral issue': 0.3092682926829268, 'Morally unacceptable': 0.00878048780487805}",0.6614634146341464
Germany,getting a divorce,-0.8448077440261841,-0.6848945021629333,"{'Morally acceptable': 0.5629268292682926, 'Not a moral issue': 0.3726829268292683, 'Morally unacceptable': 0.041951219512195125}",0.5209756097560975
Germany,having an abortion,-0.8934081196784973,-0.7290788292884827,"{'Morally acceptable': 0.44878048780487806, 'Not a moral issue': 0.26926829268292685, 'Morally unacceptable': 0.16585365853658537}",0.2829268292682927
Germany,homosexuality,-0.03011612966656685,0.4466725289821625,"{'Morally acceptable': 0.504390243902439, 'Not a moral issue': 0.42048780487804877, 'Morally unacceptable': 0.05658536585365854}",0.4478048780487805
Germany,drinking alcohol,-0.5465866923332214,0.013909057714045048,"{'Morally acceptable': 0.4117073170731707, 'Not a moral issue': 0.44, 'Morally unacceptable': 0.09951219512195122}",0.31219512195121946
Germany,married people having an affair,-0.6235233545303345,-0.24185128509998322,"{'Morally acceptable': 0.12292682926829268, 'Not a moral issue': 0.22829268292682928, 'Morally unacceptable': 0.6165853658536585}",-0.49365853658536585
Germany,gambling,-0.5963674783706665,-0.21771496534347534,"{'Morally acceptable': 0.24780487804878049, 'Not a moral issue': 0.4292682926829268, 'Morally unacceptable': 0.29560975609756096}",-0.047804878048780475
Germany,sex between unmarried adults,-0.6410053372383118,-0.3198992609977722,"{'Morally acceptable': 0.5814634146341463, 'Not a moral issue': 0.3570731707317073, 'Morally unacceptable': 0.04}",0.5414634146341463
Spain,using contraceptives,-0.07455883175134659,-0.10303444415330887,"{'Morally acceptable': 0.64, 'Not a moral issue': 0.323, 'Morally unacceptable': 0.024}",0.616
Spain,getting a divorce,-0.4626307785511017,-0.6848945021629333,"{'Morally acceptable': 0.564, 'Not a moral issue': 0.376, 'Morally unacceptable': 0.042}",0.5219999999999999
Spain,having an abortion,-0.47025662660598755,-0.7290788292884827,"{'Morally acceptable': 0.357, 'Not a moral issue': 0.285, 'Morally unacceptable': 0.257}",0.09999999999999998
Spain,homosexuality,0.33875182271003723,0.4466725289821625,"{'Morally acceptable': 0.547, 'Not a moral issue': 0.38, 'Morally unacceptable': 0.062}",0.48500000000000004
Spain,drinking alcohol,-0.05522295460104942,0.013909057714045048,"{'Morally acceptable': 0.273, 'Not a moral issue': 0.461, 'Morally unacceptable': 0.217}",0.05600000000000002
Spain,married people having an affair,-0.18209509551525116,-0.24185128509998322,"{'Morally acceptable': 0.075, 'Not a moral issue': 0.271, 'Morally unacceptable': 0.636}",-0.561
Spain,gambling,-0.05485602468252182,-0.21771496534347534,"{'Morally acceptable': 0.176, 'Not a moral issue': 0.51, 'Morally unacceptable': 0.274}",-0.09800000000000003
Spain,sex between unmarried adults,-0.3083982467651367,-0.3198992609977722,"{'Morally acceptable': 0.523, 'Not a moral issue': 0.391, 'Morally unacceptable': 0.08}",0.443
Mexico,using contraceptives,-0.420150488615036,-0.10303444415330887,"{'Morally acceptable': 0.615, 'Not a moral issue': 0.194, 'Morally unacceptable': 0.135}",0.48
Mexico,getting a divorce,-0.6791169047355652,-0.6848945021629333,"{'Morally acceptable': 0.406, 'Not a moral issue': 0.16, 'Morally unacceptable': 0.329}",0.07700000000000001
Mexico,having an abortion,-0.6997520923614502,-0.7290788292884827,"{'Morally acceptable': 0.152, 'Not a moral issue': 0.12, 'Morally unacceptable': 0.622}",-0.47
Mexico,homosexuality,0.10858244448900223,0.4466725289821625,"{'Morally acceptable': 0.352, 'Not a moral issue': 0.164, 'Morally unacceptable': 0.4}",-0.04800000000000004
Mexico,drinking alcohol,-0.33136579394340515,0.013909057714045048,"{'Morally acceptable': 0.218, 'Not a moral issue': 0.305, 'Morally unacceptable': 0.406}",-0.18800000000000003
Mexico,married people having an affair,-0.43811365962028503,-0.24185128509998322,"{'Morally acceptable': 0.095, 'Not a moral issue': 0.117, 'Morally unacceptable': 0.728}",-0.633
Mexico,gambling,-0.39609473943710327,-0.21771496534347534,"{'Morally acceptable': 0.132, 'Not a moral issue': 0.298, 'Morally unacceptable': 0.492}",-0.36
Mexico,sex between unmarried adults,-0.511224627494812,-0.3198992609977722,"{'Morally acceptable': 0.263, 'Not a moral issue': 0.208, 'Morally unacceptable': 0.434}",-0.17099999999999999
