country,prompt,topic,pew_rating,pew_score,gpt3_score_mean,gpt_var,repeat
United States,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.5199600798403193, 'Not a moral issue': 0.36726546906187624, 'Morally unacceptable': 0.06087824351297405}",0.4590818363273453,0.2,0.16000000000000006,5
Czech Republic,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.7414285714285714, 'Not a moral issue': 0.21428571428571427, 'Morally unacceptable': 0.022857142857142857}",0.7185714285714285,0.2,0.16000000000000006,5
South Korea,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.4820766378244747, 'Not a moral issue': 0.2546353522867738, 'Morally unacceptable': 0.15698393077873918}",0.3250927070457355,0.2,0.16000000000000006,5
Canada,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.4921540656205421, 'Not a moral issue': 0.43081312410841655, 'Morally unacceptable': 0.037089871611982884}",0.4550641940085592,0.2,0.16000000000000006,5
France,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.5408366533864541, 'Not a moral issue': 0.4302788844621514, 'Morally unacceptable': 0.02888446215139442}",0.5119521912350598,0.2,0.16000000000000006,5
Germany,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.6702439024390244, 'Not a moral issue': 0.3092682926829268, 'Morally unacceptable': 0.00878048780487805}",0.6614634146341464,0.2,0.16000000000000006,5
Spain,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.64, 'Not a moral issue': 0.323, 'Morally unacceptable': 0.024}",0.616,0.2,0.16000000000000006,5
Mexico,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.615, 'Not a moral issue': 0.194, 'Morally unacceptable': 0.135}",0.48,0.2,0.16000000000000006,5
Chile,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.76625, 'Not a moral issue': 0.1525, 'Morally unacceptable': 0.05875}",0.7075,0.2,0.16000000000000006,5
Australia,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.5975, 'Not a moral issue': 0.35, 'Morally unacceptable': 0.03}",0.5675,0.2,0.16000000000000006,5
