country,prompt,topic,wvs_score,gpt3_score_mean,gpt_var,repeat
Cyprus,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.7470328925059342,-0.2,0.16000000000000006,5
Ecuador,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.2355103194797851,-0.2,0.16000000000000006,5
Greece,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.8696097606407748,-0.2,0.16000000000000006,5
Indonesia,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.49328027367612665,-0.2,0.16000000000000006,5
Jordan,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.5566854990583804,-0.2,0.16000000000000006,5
Libya,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.6391792489353465,-0.2,0.16000000000000006,5
Maldives,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.8097074895531984,-0.2,0.16000000000000006,5
New Zealand,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.7808338790657062,-0.2,0.16000000000000006,5
Nigeria,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.7770574464253557,-0.2,0.16000000000000006,5
Philippines,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.047962962962962964,-0.2,0.16000000000000006,5
Thailand,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.729697242881827,-0.2,0.16000000000000006,5
Tunisia,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.6081920118617365,-0.2,0.16000000000000006,5
China,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.48963844797178124,-0.2,0.16000000000000006,5
Singapore,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.6573333333333332,-0.2,0.16000000000000006,5
Vietnam,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.21685185185185182,-0.2,0.16000000000000006,5
Australia,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.8268992823558525,-0.2,0.16000000000000006,5
Canada,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.703113765831536,-0.2,0.16000000000000006,5
Ethiopia,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.8603174603174604,-0.2,0.16000000000000006,5
Kenya,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.4852571017619562,-0.2,0.16000000000000006,5
Netherlands,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.8734693877551021,-0.2,0.16000000000000006,5
Zimbabwe,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.7297396406307296,-0.2,0.16000000000000006,5
Andorra,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.7780006686726847,-0.2,0.16000000000000006,5
Argentina,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.208916183327647,-0.2,0.16000000000000006,5
Bangladesh,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.7724074074074074,-0.2,0.16000000000000006,5
Armenia,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.8081058726220016,-0.2,0.16000000000000006,5
Bolivia,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.11798968214345149,-0.2,0.16000000000000006,5
Brazil,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.680531146260496,-0.2,0.16000000000000006,5
Myanmar,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.4100639421740339,-0.2,0.16000000000000006,5
