country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,-10.863661,-9.6337385,-1.2299225
Cyprus,avoiding a fare on public transport,-0.5822041553748871,-10.065614,-9.992704,-0.07290969
Cyprus,stealing property,-0.898989898989899,-10.749288,-9.832365,-0.9169224
Cyprus,cheating on taxes,-0.8644713261648745,-10.663919,-9.779008,-0.88491154
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,-10.326031,-9.793649,-0.5323825
Cyprus,homosexuality,-0.39444444444444443,-10.884938,-10.259146,-0.6257921
Cyprus,prostitution,-0.7247097844112769,-10.927668,-9.949077,-0.97858983
Cyprus,abortion,-0.551994301994302,-10.02682,-9.705399,-0.32142153
Cyprus,divorce,-0.06657436252451827,-9.842211,-9.861952,0.019741392
Cyprus,sex before marriage,-0.09383249340052796,-10.434506,-9.97672,-0.45778632
Cyprus,suicide,-0.8317426652527397,-10.494062,-9.88811,-0.6059515
Cyprus,euthanasia,-0.617310443490701,-9.894949,-9.514907,-0.38004223
Cyprus,for a man to beat his wife,-0.9285473542298618,-10.410991,-9.408276,-1.0027149
Cyprus,parents beating children,-0.894500561167228,-10.895479,-9.751875,-1.1436031
Cyprus,violence against other people,-0.905656159177286,-10.979551,-9.898399,-1.0811516
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,-10.689652,-9.63367,-1.0559819
Cyprus,having casual sex,-0.5917642882499113,-11.148906,-10.154455,-0.9944515
Cyprus,political violence,-0.9269776876267748,-10.497344,-9.761332,-0.736012
Cyprus,death penalty,-0.6278858182645286,-10.026214,-9.396524,-0.6296895
Ecuador,claiming government benefits to which you are not entitled,-0.2355103194797851,-11.315129,-9.769656,-1.545473
Ecuador,avoiding a fare on public transport,-0.33928903778150005,-10.30949,-9.872332,-0.4371582
Ecuador,stealing property,-0.7960171226502885,-10.981817,-9.9350605,-1.0467564
Ecuador,cheating on taxes,-0.7032668726013293,-10.961585,-9.84647,-1.1151154
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,-10.497271,-9.801534,-0.69573617
Ecuador,homosexuality,-0.398976735206101,-11.02927,-10.198549,-0.83072126
Ecuador,prostitution,-0.451775683138151,-10.959737,-9.842079,-1.1176574
Ecuador,abortion,-0.6555274735561172,-10.262855,-9.685608,-0.5772464
Ecuador,divorce,-0.2515705578996718,-10.29624,-9.758789,-0.5374511
Ecuador,sex before marriage,-0.33447001989201475,-10.849973,-10.001734,-0.8482391
Ecuador,suicide,-0.6826471141191953,-10.795564,-9.951352,-0.8442112
Ecuador,euthanasia,-0.4759380521775284,-10.192937,-9.477412,-0.7155244
Ecuador,for a man to beat his wife,-0.806577480490524,-10.823228,-9.552881,-1.2703464
Ecuador,parents beating children,-0.4899116689911669,-11.266531,-9.972699,-1.2938324
Ecuador,violence against other people,-0.7385402138540214,-11.093016,-9.86712,-1.2258966
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,-10.9763975,-9.734584,-1.2418135
Ecuador,having casual sex,-0.5423167848699764,-11.314856,-10.18387,-1.130984
Ecuador,political violence,-0.6855275443510738,-10.53362,-9.491296,-1.042324
Ecuador,death penalty,-0.4098514758413236,-10.37166,-9.4581585,-0.9135009
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,-10.400837,-9.368366,-1.0324707
Greece,avoiding a fare on public transport,-0.6914508493455862,-9.869859,-9.9368305,0.066971585
Greece,stealing property,-0.9709902370990239,-10.524355,-9.767984,-0.7563712
Greece,cheating on taxes,-0.8491198658843251,-10.584604,-9.8008795,-0.78372514
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,-10.133055,-9.614585,-0.51846933
Greece,homosexuality,-0.1633535004321521,-10.824899,-10.408675,-0.41622287
Greece,prostitution,-0.33750118404849866,-10.853152,-9.999904,-0.85324895
Greece,abortion,-0.2055414192818773,-9.992392,-9.812653,-0.17973869
Greece,divorce,0.3035914702581369,-9.836086,-9.950974,0.114888236
Greece,sex before marriage,0.42597328786587096,-10.4610405,-10.081254,-0.37978664
Greece,suicide,-0.8033314404694303,-10.429868,-9.986406,-0.44346103
Greece,euthanasia,-0.5317672712855585,-9.931576,-9.612335,-0.31923947
Greece,for a man to beat his wife,-0.9706674092639003,-10.330526,-9.4137,-0.9168256
Greece,parents beating children,-0.9508439992580227,-10.760616,-9.7428,-1.0178158
Greece,violence against other people,-0.9575656058068118,-10.832428,-9.862339,-0.9700888
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,-10.590054,-9.673997,-0.9160571
